srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Assam,2014-15,43,829,4728,2.83,,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014-15,294,7775,9845,4.8,278,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,1,44,169,0,,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014-15,38,1232,14732,3.14,116,2014,"Calendar Year (Jan - Dec), 2014"
Dadra & Nagar Haveli,2014-15,,9,73,0,,2014,"Calendar Year (Jan - Dec), 2014"
Daman & Diu,2014-15,1,1,19,0.32,,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014-15,70,280,,0.01,,2014,"Calendar Year (Jan - Dec), 2014"
Goa,2014-15,8,67,75,1.18,,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014-15,34,11691,16565,8.1,2577,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014-15,381,7901,45790,1.11,1429,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014-15,4,1172,1084,0.11,1663,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014-15,45,1951,4958,0.2,8371,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014-15,48,1734,4663,1.06,161,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014-15,181,6121,43968,6.23,8821,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014-15,446,2711,25036,7.26,,2014,"Calendar Year (Jan - Dec), 2014"
Lakshadweep,2014-15,0,4,126,0.13,,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014-15,59,10779,11776,1.09,484,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014-15,631,9542,50792,6.08,1386,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,27,82,1129,0.31,,2014,"Calendar Year (Jan - Dec), 2014"
Meghalaya,2014-15,41,83,1057,0.06,,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,2014-15,13,20,377,0.06,,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,67,76,353,0.08,,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014-15,163,1903,19245,4.7,,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,2014-15,14,48,113,0.47,,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014-15,237,10351,42642,1.15,461,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014-15,181,16934,13202,0.45,14463,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,2014-15,3,50,58,0,0,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014-15,492,7132,159253,6.98,1,2014,"Calendar Year (Jan - Dec), 2014"
