srcStateName,srcYear,TRU,Country,YearCode,StateCode,Year,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Puducherry,1993-94,Urban,India,1993,34,"Calendar Year (Jan - Dec), 1993",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,1999-00,Rural,India,1999,34,"Calendar Year (Jan - Dec), 1999",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,1999-00,Urban,India,1999,34,"Calendar Year (Jan - Dec), 1999",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2004-05,Rural,India,2004,34,"Calendar Year (Jan - Dec), 2004",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2004-05,Urban,India,2004,34,"Calendar Year (Jan - Dec), 2004",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2009-10,Rural,India,2009,34,"Calendar Year (Jan - Dec), 2009",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2009-10,Urban,India,2009,34,"Calendar Year (Jan - Dec), 2009",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2011-12,Rural,India,2011,34,"Calendar Year (Jan - Dec), 2011",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2011-12,Urban,India,2011,34,"Calendar Year (Jan - Dec), 2011",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2017-18,Rural,India,2017,34,"Calendar Year (Jan - Dec), 2017",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2017-18,Urban,India,2017,34,"Calendar Year (Jan - Dec), 2017",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2018-19,Rural,India,2018,34,"Calendar Year (Jan - Dec), 2018",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2018-19,Urban,India,2018,34,"Calendar Year (Jan - Dec), 2018",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,1993-94,Rural,India,1993,3,"Calendar Year (Jan - Dec), 1993",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,1993-94,Urban,India,1993,3,"Calendar Year (Jan - Dec), 1993",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,1999-00,Rural,India,1999,3,"Calendar Year (Jan - Dec), 1999",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,1999-00,Urban,India,1999,3,"Calendar Year (Jan - Dec), 1999",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2004-05,Rural,India,2004,3,"Calendar Year (Jan - Dec), 2004",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2004-05,Urban,India,2004,3,"Calendar Year (Jan - Dec), 2004",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2009-10,Rural,India,2009,3,"Calendar Year (Jan - Dec), 2009",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2009-10,Urban,India,2009,3,"Calendar Year (Jan - Dec), 2009",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2011-12,Rural,India,2011,3,"Calendar Year (Jan - Dec), 2011",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2011-12,Urban,India,2011,3,"Calendar Year (Jan - Dec), 2011",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2017-18,Rural,India,2017,3,"Calendar Year (Jan - Dec), 2017",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2017-18,Urban,India,2017,3,"Calendar Year (Jan - Dec), 2017",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2018-19,Rural,India,2018,3,"Calendar Year (Jan - Dec), 2018",PUNJAB,17344192,,,9093476,,,8250716,,,3358113,,,,,4789889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2018-19,Urban,India,2018,3,"Calendar Year (Jan - Dec), 2018",PUNJAB,10399146,,,5545989,,,4853157,,,2154958,,,,,251460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,1993-94,Rural,India,1993,8,"Calendar Year (Jan - Dec), 1993",RAJASTHAN,51500352,,,26641747,,,24858605,,,9494903,,,,,33126420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,1993-94,Urban,India,1993,8,"Calendar Year (Jan - Dec), 1993",RAJASTHAN,17048085,,,8909250,,,8138835,,,3216243,,,,,665817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,1999-00,Rural,India,1999,8,"Calendar Year (Jan - Dec), 1999",RAJASTHAN,51500352,,,26641747,,,24858605,,,9494903,,,,,33126420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
