srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Arunachal Pradesh,2011-12,Rural,Female,16,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,Rural,Female,5,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,Urban,Female,54,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,Urban,Female,87,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,Urban,Female,70,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,Urban,Female,165,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,Urban,Female,47,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,Urban,Female,46,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,Urban,Female,97,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,Urban,Female,17,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,Urban,Female,50,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,Urban,Female,99,2011,"Calendar Year (Jan - Dec), 2011"
Jammu & Kashmir,2011-12,Urban,Female,190,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,Urban,Female,89,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,Urban,Female,44,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,Urban,Female,139,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,Urban,Female,35,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,Urban,Female,38,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,Urban,Female,108,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,Urban,Female,37,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,Urban,Female,67,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,Urban,Female,360,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,Urban,Female,20,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,Urban,Female,36,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,Urban,Female,25,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,Urban,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,Urban,Female,45,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,Urban,Female,564,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,Urban,Female,200,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,Urban,Female,37,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,Urban,Female,64,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2011-12,Urban,Female,197,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,Urban,Female,104,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,Urban,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,Urban,Female,22,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011-12,Urban,Female,350,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011-12,Urban,Female,37,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011-12,Rural,Male,6,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011-12,Rural,Male,79,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,Rural,Male,,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,Rural,Male,,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,Rural,Male,,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2011-12,Rural,Male,18,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,Rural,Male,28,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,Rural,Male,10,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,Rural,Male,27,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,Rural,Male,62,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,Rural,Male,21,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,Rural,Male,9,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,Rural,Male,9,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,Rural,Male,22,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,Rural,Male,23,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,Rural,Male,146,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,Rural,Male,13,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,Rural,Overall,12,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,Rural,Male,24,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,Rural,Male,9,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,Rural,Male,6,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,Rural,Male,31,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,Rural,Male,12,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,Rural,Male,18,2011,"Calendar Year (Jan - Dec), 2011"
Jammu & Kashmir,2011-12,Rural,Male,22,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,Rural,Male,11,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,Rural,Male,26,2011,"Calendar Year (Jan - Dec), 2011"
