ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
192,India,20,Jharkhand,2012,"Financial Year (Apr - Mar), 2012",2011-12,1611776,17472369,6790253,5689676,1378972,16030408,5454490,3797607,7435166,1479511,462493,3562247,1271097,6097292,1344315,47360,14952629,1498008,3614824,6975967,5078126,445363,44176,3388295,6358130,16325027,453306,1455717,1375517,454300
193,India,20,Jharkhand,2013,"Financial Year (Apr - Mar), 2013",2011-12,1812103,18856671,6800159,5998783,1596103,17203041,6135192,3660373,7553825,1656232,509609,3390423,1387201,6855181,1484303,50006,15060933,1430467,3356361,6852301,5333434,458389,43779,3103621,6151452,16581626,466489,1699296,1297247,501096
194,India,20,Jharkhand,2014,"Financial Year (Apr - Mar), 2014",2011-12,2078016,21852517,7468671,6641159,1647815,20035748,6985287,4065135,8242605,1903449,561609,3832136,1394971,7820651,1490431,57301,17056800,1507393,3672018,7451350,5901224,484056,48781,3462673,6765238,18653439,493239,1750743,1365336,551249
195,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",2011-12,1671596,20661280,6350297,7085921,1623297,18747863,7492961,2979923,7153109,1484104,656232,2749502,1418993,8388034,1514673,52754,15823112,1133574,2726440,6516511,6295219,596548,44524,2520129,5813107,17488115,608198,1725906,987460,642815
196,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",2011-12,2281657,23624972,7252755,7497274,1770612,21679060,8192792,4155031,7977219,2074929,645520,3892196,1488897,9176648,1599270,60018,17636312,1459455,3656754,7084484,6634352,587352,48826,3421197,6448756,19317392,599813,1886296,1304171,631277
197,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",2011-12,2587638,26981614,8361173,8246454,1970945,24730153,9297244,4845268,9175781,2361998,724719,4557337,1563035,10471323,1691133,67484,19157307,1564348,4168279,7760856,7243770,612920,52277,3915907,7059141,21058730,626257,2105866,1399025,709073
198,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",2011-12,2354269,30569520,10222863,9030372,2220330,28041702,10660832,6152256,11119692,2109164,782403,5895026,1661118,12003112,1806449,75421,20870146,1258632,5101204,9077613,7930948,610395,56133,4883648,8329739,22927447,625003,2377829,1084172,764594
199,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",2011-12,2286913,32115731,10093030,9773327,2197776,29319200,11960230,6037566,11071189,2016214,881481,5761200,1631319,13463854,1796088,77739,21590391,1215496,5051768,9118197,8553170,648500,57246,4820213,8310483,23839543,665400,2373919,1029712,860826
200,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",2011-12,3101878,31707873,9275208,8797143,2048219,28911342,11102437,5753800,10253367,2831179,889414,5477434,1476855,12606061,1641624,75587,20459061,1644101,4688041,8440372,7576986,638519,53489,4456486,7632658,22708213,655419,2224362,1458317,868759
201,India,21,Odisha,2011,"Financial Year (Apr - Mar), 2011",2011-12,2555039,23098708,8073266,8488159,1963596,20422595,7618428,4116404,9600472,2323278,796303,3273608,1963596,8488159,2059629,48499,20422595,2555039,4116404,9600472,7618428,783729,48499,3273608,8073266,23098708,796303,2059629,2323278,783729
202,India,21,Odisha,2012,"Financial Year (Apr - Mar), 2012",2011-12,3750538,26169960,8362935,9117405,1966117,23331248,8693743,4212453,9890884,3484350,910354,3459143,1906551,9682545,2009633,55105,21630107,3153542,3985120,9516379,8175433,882747,51087,3259701,8050481,24336348,898381,2074164,2907474,894227
203,India,21,Odisha,2013,"Financial Year (Apr - Mar), 2013",2011-12,3802014,29647538,9460796,9827201,2174138,26097737,9729931,5168498,11396036,3490503,962328,4067727,2012619,10973261,2144855,61305,23312187,2864360,4830204,11060447,8674317,913891,54762,3798066,9254282,26589153,929172,2314669,2599028,946268
204,India,21,Odisha,2014,"Financial Year (Apr - Mar), 2014",2011-12,4436266,31424995,8685287,10588381,2252190,27492342,10761779,4724215,10829123,4084682,1065147,3475553,2008004,12134082,2138636,64233,23593074,3154054,4374503,10284597,9371877,1000968,55123,3251093,8369223,27066534,1018384,2393041,2869312,1045499
205,India,21,Odisha,2015,"Financial Year (Apr - Mar), 2015",2011-12,3765010,32854950,8580883,11585388,2230017,28397902,11706145,4654610,11106352,3380092,1184299,3129081,2015148,13180706,2146416,65993,25319167,2454137,4840719,11767248,10280452,1075954,58838,3476764,9529802,29222893,1097064,2370792,2156170,1159988
206,India,21,Odisha,2016,"Financial Year (Apr - Mar), 2016",2011-12,4707586,39280367,11062384,12047474,2449512,34233170,12469644,6741508,13962588,4279658,1148781,4967037,2148082,14109793,2300759,79181,29334825,3025226,6449059,14119724,10605974,1042827,67851,4858979,11549918,33734806,1065757,2609537,2706396,1122572
207,India,21,Odisha,2017,"Financial Year (Apr - Mar), 2017",2011-12,4427627,44080354,12895123,13145256,2787875,38792515,14007536,8000596,15754841,3958687,1395989,6268771,2314887,15879559,2490911,89353,31659195,2416515,7772888,15241162,11551064,1180635,72922,6252104,12759115,36151674,1206326,2973274,2076275,1365849
208,India,21,Odisha,2018,"Financial Year (Apr - Mar), 2018",2011-12,5093549,49828583,15863347,13440130,3041090,43932333,14888322,10383997,19006249,4586477,1511178,8499220,2388375,17038053,2587428,100771,33800202,2636536,9215764,17041709,11676562,1178952,77531,7615073,14404491,38639548,1207167,3256809,2279143,1476782
209,India,21,Odisha,2019,"Financial Year (Apr - Mar), 2019",2011-12,6337952,54795908,14849221,14572492,2993866,48344801,16582707,9644822,18202317,5783281,1719558,7623991,2318640,19014494,2543092,110434,36009480,3094805,8817712,16735577,12599515,1265068,82257,7117575,13949056,41237480,1298036,3233813,2717989,1679266
210,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",2011-12,6112908,54506867,14004113,14425358,2756624,48234981,16987704,8997014,17172739,5577931,1882740,7111915,2133974,19451759,2340550,109730,34816246,2994569,8074866,15433710,12526626,1385120,79203,6517956,12854795,39747311,1421217,2977557,2629957,1838624
211,India,22,Chhattisgarh,2011,"Financial Year (Apr - Mar), 2011",2011-12,1798258,15807382,6112670,5140420,1811676,14227342,4653885,2435032,7016612,1646143,537699,2096873,1811676,5140420,1901330,55177,14227342,1798258,2435032,7016612,4653885,529208,55177,2096873,6112670,15807382,537699,1901330,1646143,529208
212,India,22,Chhattisgarh,2012,"Financial Year (Apr - Mar), 2012",2011-12,2140927,17751133,6601599,5380078,1819654,15943142,5243813,2817915,7632393,1963201,609344,2457605,1690637,5800032,1787106,60849,14876030,1923736,2660179,7326445,4852575,590866,56777,2313479,6337247,16597740,601331,1920771,1759339,598550
213,India,22,Chhattisgarh,2013,"Financial Year (Apr - Mar), 2013",2011-12,2405368,20683318,8116753,5859043,2143948,18604951,6006259,3810105,9266257,2194237,680931,3440532,1652417,6676857,1760222,69880,16349433,1982691,3588922,8468830,5241260,646724,61409,3243314,7399559,18257945,657470,2260022,1802700,669637
214,India,22,Chhattisgarh,2014,"Financial Year (Apr - Mar), 2014",2011-12,2571796,22111811,8237009,6064312,2392533,19731366,6539545,3495197,9597369,2333827,719388,3058680,1656004,7270475,1763809,72936,16535421,2045885,3313429,8337415,5436910,670413,61122,2920843,7156443,18581344,682236,2541824,1852931,706048
215,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",2011-12,2615412,22516299,7849750,6423198,2355732,20065317,7105490,3234424,9259138,2357219,833987,2781121,1503250,7834753,1641223,72991,16887888,1978955,3402519,8499275,5753939,757684,61433,2995128,7245806,19058377,772556,2503685,1778748,776414
216,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",2011-12,3372989,26280175,8165266,6775483,2852628,23264013,7881417,3102774,9985131,3092124,745959,2401694,1697422,8739937,1874831,83285,18754052,2454184,3168509,8940226,6037576,677144,67139,2539959,7321861,21370478,692048,3038575,2244327,694096
217,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",2011-12,2940525,28228344,9696425,6896577,3178626,25457687,8327241,3724512,11399677,2939711,859451,3187833,1809386,9329385,2015930,89690,19407322,1994483,3504001,9772387,6048066,726866,68374,3033179,8289984,22013569,742683,3396171,1775259,840895
218,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",2011-12,3399711,31810113,10921944,7470518,3687705,28338488,9646295,4141298,12763725,3004588,951243,3557551,2029104,10809867,2264355,98254,20921074,2265037,3816831,10691067,6524672,745250,72537,3322079,9116911,23769490,762724,3943019,1996452,929915
219,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",2011-12,3820057,34495535,11456195,8046614,4149775,30799515,10648855,4243327,13368027,3357325,1050910,3651158,2250586,11891660,2510770,105089,22062397,2291605,3881717,11057952,7049502,786237,75278,3386965,9446531,24987503,803878,4437155,2036091,1027848
220,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",2011-12,4205427,35026983,11003268,8106591,4219240,31253167,11028028,4329771,12921107,3694468,1152188,3737602,2270875,12289294,2533404,104943,21512630,2397597,3902145,10473691,7120742,821865,72236,3359533,8782490,24545166,839859,4511431,2106289,1127502
221,India,23,Madhya Pradesh,2011,"Financial Year (Apr - Mar), 2011",2011-12,7333369,31556159,7931058,11863234,3333178,28237104,10496152,3828625,9398394,6889445,1593654,2967896,3333178,11863234,3495447,38497,28237104,7333369,3828625,9398394,10496152,1568489,38497,2967896,7931058,31556159,1593654,3495447,6889445,1568489
222,India,23,Madhya Pradesh,2012,"Financial Year (Apr - Mar), 2012",2011-12,10540450,38092480,7395190,13011009,3318465,33393724,12473185,4171724,9942939,10022635,1732129,2313456,3076454,14058679,3249077,44773,30685334,9395310,3950229,9469736,11502940,1679708,41142,2159834,7018466,35168262,1709455,3499404,8916071,1701445
223,India,23,Madhya Pradesh,2013,"Financial Year (Apr - Mar), 2013",2011-12,12457846,43948344,8807050,13682614,3833493,39311528,14052717,4018450,10881418,11840900,1920614,2852777,3287065,15943591,3519458,51849,32259760,9213657,3665391,9529265,11942912,1821617,42548,2575161,7590128,36513394,1851951,4080463,8687182,1888732
224,India,23,Madhya Pradesh,2014,"Financial Year (Apr - Mar), 2014",2011-12,13094566,47993904,9202311,14420526,3969868,42902700,15577622,4233489,11460301,12399725,1997284,2988587,3343275,17652926,3573333,55678,33924690,9332505,3758955,9917767,12595041,1861623,44027,2640189,7892179,38394448,1894142,4217923,8768349,1960598
225,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",2011-12,13477296,54106751,10861431,15570721,4113405,48603421,17486448,5191200,13330456,12714305,2334264,3942866,3362383,19689578,3603975,62080,37071567,8949745,4823080,11443201,13627029,2120654,47351,3705230,9237897,41873574,2162322,4372493,8357378,2286276
226,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",2011-12,18913732,64982281,11911938,16723193,4596482,59066880,19538780,5732405,14443600,18070927,2234695,4453970,3457073,22003546,3741354,74324,41946525,11775864,5320558,11914669,14565098,2029146,52782,4174515,9649420,47066916,2073191,4894443,11145635,2184352
227,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",2011-12,20671175,72633825,13787995,17833951,5128344,66081512,21595959,6425200,16552589,19757769,2424337,5092755,3702203,24381152,4029161,81973,44200243,11506489,5732036,13074838,15481126,2050343,54829,4564435,10653378,49714765,2094959,5472716,10840589,2371994
228,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",2011-12,22005847,81381994,15423313,19610136,5785996,73978207,24860111,6994326,18481420,21018438,2646251,5540475,4074715,28116055,4439827,90487,46928896,11159219,6013449,14162729,16968731,2073201,57401,4783286,11570541,52942499,2121812,6182246,10460187,2586920
229,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",2011-12,27016770,93740518,17345373,21316880,6493991,85623827,28243890,7459226,20639711,25940693,2827457,5929059,4439104,31872388,4858193,103288,51592278,12529419,6355349,15545355,18441710,2132769,62236,5085159,12800556,58040617,2183965,6950530,11790712,2763729
230,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",2011-12,28163881,91755509,15920122,19411729,5838541,82710649,24866445,7249343,19524084,26996487,2842241,5624381,3996015,29003479,4473029,98418,49100067,12987587,6127630,14787709,16238688,2153474,58425,4813012,11854242,56084526,2207326,6364863,12208716,2773259
231,India,24,Gujarat,2011,"Financial Year (Apr - Mar), 2011",2011-12,7950972,61560607,18520341,20263330,4258325,53280946,18124377,15681931,24192354,7559820,2942743,11184924,4258325,20263330,4469267,87481,53280946,7950972,15681931,24192354,18124377,2896275,87481,11184924,18520341,61560607,2942743,4469267,7559820,2896275
232,India,24,Gujarat,2012,"Financial Year (Apr - Mar), 2012",2011-12,6767738,72449536,24417992,22776651,4455021,63457155,21733919,20692579,30390528,6309442,3461652,16227678,4375741,24207926,4612284,102826,59665883,6301794,19338449,28667968,20429173,3333444,96683,15040279,22922429,68265021,3392892,4702959,5877481,3400333
233,India,24,Gujarat,2013,"Financial Year (Apr - Mar), 2013",2011-12,9556409,80762319,25825261,24124649,5027337,70745596,23867690,21997752,32267099,9014179,4116751,17149902,4698480,26801079,5004328,113139,64148881,8650200,19838758,29310763,21423723,3702984,102589,15300520,23282876,73428387,3768414,5352370,8187059,4047983
234,India,24,Gujarat,2014,"Financial Year (Apr - Mar), 2014",2011-12,9664066,92177315,31048921,26194234,5249371,80476442,26648410,27875630,38749839,9045105,4481687,21878104,4835549,29913701,5142692,127017,70562884,8421258,24024735,33942258,23255014,3965726,111370,18575485,26911568,81142764,4039740,5577264,7913255,4399017
235,India,24,Gujarat,2015,"Financial Year (Apr - Mar), 2015",2011-12,9393472,102900974,35476019,28222253,5175879,89399656,28965874,32111916,44564366,8715834,4988118,25017026,4817045,32579924,5122121,139254,77477522,7789790,27820644,39511588,24998108,4306343,120683,21471826,31400609,89446534,4395237,5503048,7263047,4885742
236,India,24,Gujarat,2016,"Financial Year (Apr - Mar), 2016",2011-12,10970840,116715558,39705409,30455949,5521152,101668316,32259531,36269555,49577001,10233562,5456482,28706821,4791595,36564368,5135761,156295,84393034,8369156,30825273,42852793,26855783,4509693,129738,24042421,34422519,98134196,4615025,5881881,7816676,5336089
237,India,24,Gujarat,2017,"Financial Year (Apr - Mar), 2017",2011-12,12584816,132909477,45350022,33344233,6132825,116637023,36595550,41383562,56236760,11789091,6227936,32681950,4980819,41038070,5371002,176961,94651119,9365086,34308529,47162997,29580633,5086519,143604,26668961,37628848,108656973,5201133,6543790,8783375,6093473
238,India,24,Gujarat,2018,"Financial Year (Apr - Mar), 2018",2011-12,11174299,149215571,54023565,37022484,7040730,131869594,41753676,48129083,65227317,10280355,7207791,39417719,5696399,46852568,6034321,197457,103439901,7857307,38665712,52397630,33525149,5777674,154887,30242602,41948528,118301975,5913688,7458400,7053050,7042012
239,India,24,Gujarat,2019,"Financial Year (Apr - Mar), 2019",2011-12,13956699,163024012,57438103,39986508,7351250,144768273,46048930,51064957,68849842,12965773,7646745,42332849,5704605,51740602,6094664,213936,111186835,8962827,40892857,55295580,35687249,6126825,164310,32420069,44613176,126895663,6273832,7853900,8326466,7467568
240,India,24,Gujarat,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,India,27,Maharashtra,2011,"Financial Year (Apr - Mar), 2011",2011-12,10192975,128036944,35134026,58450931,7684092,112659470,49597229,24603175,40988240,9615252,11783628,20680409,7684092,58450931,8055213,99597,112659470,10192975,24603175,40988240,49597229,11597555,99597,20680409,35134026,128036944,11783628,8055213,9615252,11597555
242,India,27,Maharashtra,2012,"Financial Year (Apr - Mar), 2012",2011-12,10829458,145962863,38693349,63324460,7964151,128217978,57536119,28203191,45416306,10170614,12909085,23615815,7339588,67796177,7751740,112092,118971084,10005668,26616569,43074568,53667808,12518415,104008,22202071,36614386,135794185,12740105,8396157,9395541,12680417
243,India,27,Maharashtra,2013,"Financial Year (Apr - Mar), 2013",2011-12,13677580,164964663,43409194,68450933,8665011,144872007,65045254,32423665,50532733,12905290,14972993,27902218,7492869,77132273,8046688,125261,126755127,11865366,29276153,44411243,57457612,14199386,109597,25047869,37755291,145161464,14437695,9253570,11205250,14722527
244,India,27,Maharashtra,2014,"Financial Year (Apr - Mar), 2014",2011-12,11514122,177913793,45879875,74685393,9520553,155321668,73464070,34197980,53574933,10661650,16407915,29307439,8129253,87391284,8680703,132836,134534146,9883332,30765117,47968559,62593309,15292917,115058,26369106,41074630,154316487,15560592,10115142,9189037,16105945
245,India,27,Maharashtra,2015,"Financial Year (Apr - Mar), 2015",2011-12,11480344,196622458,50159512,80220792,9444571,173530750,81741815,37291722,57430178,10561987,17823903,32311065,8291159,96533275,8847319,146815,145251339,9142618,34088245,52192116,67373230,16192760,122889,29626776,45677541,165428361,16511000,10041008,8426242,17457398
246,India,27,Maharashtra,2016,"Financial Year (Apr - Mar), 2016",2011-12,15382358,219818515,51639443,87223399,10231693,195477426,92415921,37706860,58593454,14389596,18778198,32994630,8690179,108679024,9326105,163726,159612075,11431358,36416354,55285010,73248349,17067427,133686,32190589,49030271,180704575,17421073,10898224,10684082,18373984
247,India,27,Maharashtra,2017,"Financial Year (Apr - Mar), 2017",2011-12,14123135,235278150,55959606,92261396,11059761,208119494,101169887,40372416,63678918,13061045,19772110,35254072,8800999,119412475,9513159,172663,168698024,10850708,39410042,59260861,77192217,17531616,139958,34924486,52460894,191462142,17897893,11809851,10069645,19342403
248,India,27,Maharashtra,2018,"Financial Year (Apr - Mar), 2018",2011-12,13181238,257962772,61254372,98942471,12315908,227679279,113539848,43969009,69691325,12046883,22658173,38392550,8867286,134119225,9665312,187118,178983775,10297508,41592550,62352190,82699783,18324838,147097,36874078,55164763,203331431,18744877,13181993,9486455,22145500
249,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",2011-12,16889142,281855457,61900149,107145804,13170751,248253582,127680584,43355984,70576032,15435691,24681438,37857273,9013774,151010810,9824983,202130,187380069,11164836,41160095,62447596,89348635,19086150,152566,36490683,55208650,213406502,19523640,14096951,10285470,24122986
250,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,India,28,Andhra Pradesh,2011,"Financial Year (Apr - Mar), 2011",2011-12,5204052,37940203,9510720,14308520,3531627,33999552,12736119,5070622,11265978,4769366,1425608,3969153,3531627,14308520,3702645,69000,33999552,5204052,5070622,11265978,12736119,1403097,69000,3969153,9510720,37940203,1425608,3702645,4769366,1403097
252,India,28,Andhra Pradesh,2012,"Financial Year (Apr - Mar), 2012",2011-12,6123041,41140371,8518147,15579577,3564077,37019606,14829344,4237657,10168717,5620765,1584297,3227857,3371104,16592526,3557072,74687,34133522,5256943,4018820,9738722,13891379,1536254,68865,3047249,8153577,38062901,1563462,3759004,4793197,1556233
253,India,28,Andhra Pradesh,2013,"Financial Year (Apr - Mar), 2013",2011-12,7114707,46427201,8615015,16788771,3818687,41316364,16888423,4242337,10740845,6524191,1710463,3007189,3475663,19035788,3707561,82870,36023923,6062373,3857458,9934466,14805713,1623342,72254,2701406,7948923,40711475,1651530,4065131,5560702,1680837
254,India,28,Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",2011-12,7889822,52497564,10323434,18296985,4265806,47093381,19148062,5453191,12428205,7236609,1904659,4161426,3749096,21523018,3996330,93903,39706383,6098300,4882841,11184156,16203607,1775219,79174,3721730,9293274,44456428,1806300,4532380,5570842,1869595
255,India,28,Andhra Pradesh,2015,"Financial Year (Apr - Mar), 2015",2011-12,8406995,60422862,11099537,20507959,4289132,54482724,22345924,5884026,13430093,7695251,2059871,4522177,3741891,24895279,3994701,108002,44699686,5845963,5496895,12385518,18263190,1880400,88609,4296778,10324079,49860626,1908142,4560250,5297026,2017622
256,India,28,Andhra Pradesh,2016,"Financial Year (Apr - Mar), 2016",2011-12,9649845,68441587,11833744,20869391,4731016,61234875,23520030,6471524,15039373,8869068,2134586,4520568,4070849,26324629,4365728,120676,47756555,6430367,6054494,13931570,18413851,1938859,94115,4306091,11071053,54021177,1980317,5040086,5850875,2087200
257,India,28,Andhra Pradesh,2017,"Financial Year (Apr - Mar), 2017",2011-12,11513177,78613542,13676828,22534915,5069205,70589015,26274210,7328360,17074300,10682157,2490143,5263912,4050091,29558955,4385791,138299,52662596,7411840,6570059,14732826,19753570,2105997,103177,4758527,11754461,59473653,2151824,5422785,6810935,2436380
258,India,28,Andhra Pradesh,2018,"Financial Year (Apr - Mar), 2018",2011-12,10896389,87084920,14430377,24391439,5562038,78185001,29571999,7718300,18114363,9994688,2826848,5466551,4181638,33305974,4556261,152286,55081730,6936553,6690056,14704466,21354693,2214690,107286,4780302,11578450,62373237,2266618,5968611,6303642,2763468
259,India,28,Andhra Pradesh,2019,"Financial Year (Apr - Mar), 2019",2011-12,13009391,97122422,15950953,25904197,5993746,87006430,32878320,8631112,20201425,11932834,3188119,6113057,4361972,37046531,4752751,168480,58834317,7743777,7305605,16210312,22660942,2349256,113927,5220135,12634312,66884789,2404340,6431875,7037329,3116639
260,India,28,Andhra Pradesh,2020,"Financial Year (Apr - Mar), 2020",2011-12,14008718,98661053,15593177,24166445,5816839,88419882,32652864,8165301,19728281,12849464,3607400,5783143,4116324,36930070,4485096,170215,57375761,8056157,6811877,15681634,21141808,2529686,110453,4867348,12204196,65162410,2589000,6242037,7321211,3526519
261,India,29,Karnataka,2011,"Financial Year (Apr - Mar), 2011",2011-12,5339456,60600981,14260389,31386326,4801598,55495220,28890823,9713888,16280170,4807446,2879395,8343501,4801598,31386327,5033145,90263,55495220,5339456,9713888,16280170,28890822,2833927,90263,8343501,14260389,60600981,2879395,5033145,4807446,2833927
262,India,29,Karnataka,2012,"Financial Year (Apr - Mar), 2012",2011-12,5749544,69541305,15366463,34841904,4965442,63592383,34330090,10850509,17639639,5143512,3211947,9292604,4516224,37335544,4772392,102319,58655161,4919527,10278581,16500915,31982298,3114742,94375,8778247,14333850,64303302,3169902,5233950,4358183,3155050
263,India,29,Karnataka,2013,"Financial Year (Apr - Mar), 2013",2011-12,6988511,81666615,16916633,38664525,5579221,74656904,41213341,11794288,19627199,6293219,3610955,9971262,5042357,44744001,5381967,118829,63994016,5397980,10790066,17848442,35406759,3416595,101858,9081837,15308604,70446604,3481860,5940134,4807504,3542558
264,India,29,Karnataka,2014,"Financial Year (Apr - Mar), 2014",2011-12,7862007,91392303,17536015,42264865,5776508,82578249,46683942,12008490,20443889,7144328,4193233,10098361,5065440,51791812,5400228,130024,67128350,5651754,10737587,18111579,37821154,3909744,105697,9019470,15493650,74842911,3976689,6137487,5069294,4117711
265,India,29,Karnataka,2015,"Financial Year (Apr - Mar), 2015",2011-12,7973840,104516810,19733520,47473658,5747323,95086639,54707870,14266143,22656651,7202738,4898877,12358288,5210481,60369844,5549240,148108,74995161,4827055,13009332,20830024,42624200,4451354,116813,11302092,18205856,83132991,4538028,6110614,4228126,4799058
266,India,29,Karnataka,2016,"Financial Year (Apr - Mar), 2016",2011-12,8211588,120760772,23878590,52816447,6037324,110263629,62962322,18218381,26852039,7379228,5188752,16256230,5203669,69581378,5579969,169898,85139399,4927233,16646176,24250802,47145464,4714268,131186,14887347,21570854,94177405,4813754,6431733,4303892,5075041
267,India,29,Karnataka,2017,"Financial Year (Apr - Mar), 2017",2011-12,10877750,133691433,25707956,56300064,6678172,121269364,68119414,19119213,28956627,9985399,5869825,17016798,5388888,76316225,5811742,186405,91879580,6386466,16906030,24904128,49487867,4964308,141229,15061321,22034300,102286208,5072332,7123548,5734300,5743094
268,India,29,Karnataka,2018,"Financial Year (Apr - Mar), 2018",2011-12,10889575,149062378,28110082,61206819,7502784,134896158,77824345,20679505,31716306,9936902,6679201,18388178,5671231,87338825,6151917,205697,97511092,5862460,17636474,26095513,53624839,5232808,148690,15693580,23014793,108927096,5355503,8024465,5185712,6529447
269,India,29,Karnataka,2019,"Financial Year (Apr - Mar), 2019",2011-12,12122027,162892793,28212108,65327651,7783648,147527677,86612311,20396646,31845852,11061533,7350107,18136661,5932698,97171112,6435546,223175,102369001,6543267,17264268,26116753,57260743,5697081,154861,15362378,23013186,114378127,5830662,8324858,5787928,7185311
270,India,29,Karnataka,2020,"Financial Year (Apr - Mar), 2020",2011-12,12804541,166531955,26879419,63332237,7289745,151107106,88748937,19598850,30361084,11684337,7313593,17427262,5550635,99442804,6021099,226796,99823825,6745737,16370662,24775170,55609946,5648836,149825,14567214,21808838,111381799,5781285,7796613,5967095,7149616
271,India,30,Goa,2011,"Financial Year (Apr - Mar), 2011",2011-12,102417,4236666,2248849,1231620,129494,3800855,1069205,1629346,2504647,93081,172930,1508357,129494,1231621,135801,259444,3800855,102417,1629346,2504647,1069204,170199,259444,1508357,2248849,4236666,172930,135801,93081,170199
272,India,30,Goa,2012,"Financial Year (Apr - Mar), 2012",2011-12,108207,3812002,1756731,1249352,133127,3456727,1166380,1453493,1919430,98112,205807,1354856,122273,1339245,129211,234354,3245285,102909,1389382,1837021,1084472,198185,220019,1294246,1680489,3585022,201719,140399,93645,202161
273,India,30,Goa,2013,"Financial Year (Apr - Mar), 2013",2011-12,126747,3592110,1251311,1289781,151812,3204278,1278103,1091757,1415093,115533,219431,991718,133901,1475558,143137,215776,2797110,109744,1016189,1306446,1106697,197376,188358,922261,1152712,3156846,200864,161627,100326,215766
274,India,30,Goa,2014,"Financial Year (Apr - Mar), 2014",2011-12,138488,4781418,2122475,1413982,152514,4323309,1451800,1944115,2327100,126442,237658,1826099,130666,1681083,139501,289185,3604168,106884,1717237,2044548,1210776,223331,241081,1610989,1860580,4011649,227217,162041,97303,233274
275,India,30,Goa,2015,"Financial Year (Apr - Mar), 2015",2011-12,157776,5505385,2524827,1530759,190675,5035370,1634745,2246833,2748575,145323,258172,2127644,169940,1855158,181179,334576,4192944,103001,1991381,2413006,1336102,234692,278601,1884849,2212671,4609086,239275,202728,93569,252894
276,India,30,Goa,2016,"Financial Year (Apr - Mar), 2016",2011-12,185372,6297631,2864567,1633311,178287,5744925,1863618,2475168,3135163,172349,235854,2351719,155240,2118611,166354,378953,4637068,110603,2154899,2814821,1409120,214601,305875,2044276,2573119,5124924,219154,189936,101136,230650
277,India,30,Goa,2017,"Financial Year (Apr - Mar), 2017",2011-12,215191,6935205,3035456,1712064,209818,6287267,2046792,2554330,3342815,201708,273803,2419662,171443,2362190,184109,411740,4707685,109655,2209782,2864474,1443588,231565,308296,2091455,2595267,5265269,236604,223159,100138,267892
