ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
58,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",2011-12,6312146,70495738,16003965,23116303,4513525,63860793,27480504,11846613,18674251,5622855,2961047,10108879,3311109,30680490,3599690,226409,46533095,4286284,10320106,14493457,20564450,2319827,164976,8845353,12424830,51707999,2374220,4826718,3791917,2894657
59,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",2011-12,6605285,78061235,17153590,25200240,4958109,70836363,31114026,12678257,19980557,5885309,3402242,10814553,3602344,34705907,3915592,247628,50403516,4390209,11025074,15619525,22444434,2568048,176199,9449591,13368274,55970500,2628262,5302790,3898505,3325961
60,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",2011-12,6791294,76487241,15728162,23771664,4343303,69491364,30404285,11663997,18385710,6051043,3776489,9949389,3148449,33909034,3422227,239535,47575724,4420079,9988717,14124822,21184812,2635693,163992,8561330,12046490,52806975,2697492,4645244,3925030,3691817
61,India,7,Delhi,2011,"Financial Year (Apr - Mar), 2011",2011-12,65965,34379750,4120266,25296499,1588185,31465002,23008302,1890728,4741087,62741,5388295,1591119,1588185,25296499,1666852,185001,31465002,65965,1890728,4741087,23008302,5303210,185001,1591119,4120266,34379750,5388295,1666852,62741,5303210
62,India,7,Delhi,2012,"Financial Year (Apr - Mar), 2012",2011-12,72784,39138764,4824905,26675279,1692371,35740011,25782704,2334979,5596370,69039,5992774,2008472,1541608,28404102,1631484,205568,33419330,60904,2203494,5194379,24175556,5811414,192220,1892053,4456061,36662837,5914328,1786576,57427,5886620
63,India,7,Delhi,2013,"Financial Year (Apr - Mar), 2013",2011-12,73747,44395989,5528604,28320089,1862414,40484101,28900621,2533769,6441767,69272,6449101,2205990,1567100,31892716,1680535,227900,35652751,55187,2293900,5633869,25535827,6116374,200702,1992032,4785797,39290838,6218539,1982965,51344,6341724
64,India,7,Delhi,2014,"Financial Year (Apr - Mar), 2014",2011-12,51366,49480302,5319657,31956422,1869749,44848665,33232408,2338536,6288449,46291,6981581,1986198,1499867,36887909,1608184,247209,38763874,27752,2059873,5446836,28756150,6506996,213669,1744814,4581575,42835515,6621044,1986540,23598,6852921
65,India,7,Delhi,2015,"Financial Year (Apr - Mar), 2015",2011-12,51384,55080370,6255319,34427562,1958130,50052365,36359102,3119470,7274850,45877,7292183,2781576,1508531,40360012,1623918,270261,43172959,21598,2805646,6497993,30957742,6628969,233115,2500209,5584683,47562250,6758425,2081873,17277,7143093
66,India,7,Delhi,2016,"Financial Year (Apr - Mar), 2016",2011-12,52738,61608506,6632151,36923031,2318378,55854560,40489284,3011670,7812245,46738,7761491,2676152,1689236,45055091,1833738,295558,46159238,21776,2687146,6704745,32971828,7051013,244255,2385360,5645000,51176524,7200558,2469835,17229,7590562
67,India,7,Delhi,2017,"Financial Year (Apr - Mar), 2017",2011-12,54670,67790004,7524775,38887689,2745368,61363140,44460422,3068031,8789610,48210,8183766,2710601,1910245,49613682,2040987,318323,48763115,19899,2699746,7263133,34562405,6887399,252960,2389423,6156725,54201502,7047155,2883074,15112,7996344
68,India,7,Delhi,2018,"Financial Year (Apr - Mar), 2018",2011-12,55598,75096161,8689701,41297813,3194201,67685526,49350556,3335761,10165615,48617,9294701,2947320,2157956,55275804,2308299,344350,51295715,19925,2850671,8018836,36531993,7245061,260967,2527341,6773846,57313488,7424840,3357367,14898,9075274
69,India,7,Delhi,2019,"Financial Year (Apr - Mar), 2019",2011-12,60302,83087249,9966264,44312628,3672275,75375917,55693030,3503401,11460245,52800,9982036,3124231,2398335,61900204,2556356,376221,55030297,20660,3012723,9076605,39282756,7341839,274671,2695108,7759737,61384270,7535100,3834760,15394,9751859
70,India,7,Delhi,2020,"Financial Year (Apr - Mar), 2020",2011-12,59617,79830981,9104314,41883040,3236244,72266283,53954420,3236374,10649915,51594,10121785,2866475,2062703,59962635,2200814,354004,51851771,21562,2790138,8553630,37178952,7885933,254001,2478237,7219928,57897063,8090390,3398048,16057,9872244
