srcStateName,srcYear,Birth rate,Death rate,YearCode,Year
Mizoram,2011,16.6,4.4,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011,16.1,3.3,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,20.1,8.5,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011,16.1,7.2,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,16.2,6.8,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011,18.9,6.2,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,26.2,6.7,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011,17.6,5.6,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,15.9,7.4,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011,14.3,5,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2012,17.5,7.4,2012,"Calendar Year (Jan - Dec), 2012"
Andaman & Nicobar Islands,2012,15,4.6,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2012,19.4,5.8,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012,22.5,7.9,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012,27.7,6.6,2012,"Calendar Year (Jan - Dec), 2012"
Chandigarh,2012,14.8,4,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012,24.5,7.9,2012,"Calendar Year (Jan - Dec), 2012"
Dadra & Nagar Haveli,2012,25.6,4.5,2012,"Calendar Year (Jan - Dec), 2012"
Daman & Diu,2012,18.1,4.8,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012,17.3,4.2,2012,"Calendar Year (Jan - Dec), 2012"
Goa,2012,13.1,6.6,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012,21.1,6.6,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012,21.6,6.4,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012,16.2,6.7,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012,17.6,5.4,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012,24.7,6.8,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012,18.5,7.1,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012,14.9,6.9,2012,"Calendar Year (Jan - Dec), 2012"
Lakshadweep,2012,14.8,6.4,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012,26.6,8.1,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012,16.6,6.3,2012,"Calendar Year (Jan - Dec), 2012"
Manipur,2012,14.6,4,2012,"Calendar Year (Jan - Dec), 2012"
Meghalaya,2012,24.1,7.6,2012,"Calendar Year (Jan - Dec), 2012"
Mizoram,2012,16.3,4.4,2012,"Calendar Year (Jan - Dec), 2012"
Nagaland,2012,15.6,3.2,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012,19.9,8.5,2012,"Calendar Year (Jan - Dec), 2012"
Puducherry,2012,15.8,7.1,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012,15.9,6.8,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012,25.9,6.6,2012,"Calendar Year (Jan - Dec), 2012"
Sikkim,2012,17.2,5.4,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012,15.7,7.4,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2012,13.9,4.8,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012,27.4,7.7,2012,"Calendar Year (Jan - Dec), 2012"
Uttarakhand,2012,18.5,6.1,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012,16.1,6.3,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2013,16,6.4,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013,17.4,7.3,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2013,19.3,5.8,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013,22.4,7.8,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013,27.6,6.6,2013,"Calendar Year (Jan - Dec), 2013"
Chandigarh,2013,14.7,4,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013,24.4,7.9,2013,"Calendar Year (Jan - Dec), 2013"
Dadra & Nagar Haveli,2013,25.5,4.4,2013,"Calendar Year (Jan - Dec), 2013"
Daman & Diu,2013,17.9,4.9,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013,17.2,4.1,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013,13,6.6,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013,20.8,6.5,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013,21.3,6.3,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013,16,6.7,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013,17.5,5.3,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013,24.6,6.8,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013,18.3,7,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013,14.7,6.9,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,2013,14.8,6.3,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013,26.3,8,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013,16.5,6.2,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,2013,14.7,4,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,2013,23.9,7.6,2013,"Calendar Year (Jan - Dec), 2013"
Mizoram,2013,16.1,4.3,2013,"Calendar Year (Jan - Dec), 2013"
Nagaland,2013,15.4,3.1,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013,19.6,8.4,2013,"Calendar Year (Jan - Dec), 2013"
Andaman & Nicobar Islands,2013,14.6,4.6,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,2013,15.7,7,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013,15.7,6.7,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013,25.6,6.5,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,2013,17.1,5.2,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013,15.6,7.3,2013,"Calendar Year (Jan - Dec), 2013"
Tripura,2013,13.7,4.7,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013,27.2,7.7,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,2013,18.2,6.1,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2014,15.4,7,2014,"Calendar Year (Jan - Dec), 2014"
Andaman & Nicobar Islands,2014,14.7,4.6,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014,17,7.3,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014,19.2,6.6,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014,22.4,7.2,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,25.9,6.2,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014,14.3,4,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014,23.4,7.7,2014,"Calendar Year (Jan - Dec), 2014"
Dadra & Nagar Haveli,2014,25.6,4.2,2014,"Calendar Year (Jan - Dec), 2014"
Daman & Diu,2014,17.3,4.6,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,16.8,3.8,2014,"Calendar Year (Jan - Dec), 2014"
Goa,2014,12.9,6.6,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014,20.6,6.2,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,21.2,6.1,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014,16.4,6.7,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014,16.8,5.1,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,23.8,5.9,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,18.1,6.8,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,14.8,6.6,2014,"Calendar Year (Jan - Dec), 2014"
Lakshadweep,2014,14,6.1,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,25.7,7.8,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,16.5,6,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014,14.6,4.3,2014,"Calendar Year (Jan - Dec), 2014"
Meghalaya,2014,24.1,7.5,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,2014,16.4,4.3,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014,15.3,3.1,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014,19.4,7.9,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,2014,14.6,6.6,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014,15.5,6.4,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,25,6.4,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,2014,17.1,5.1,2014,"Calendar Year (Jan - Dec), 2014"
Telangana,2014,18,6.7,2014,"Calendar Year (Jan - Dec), 2014"
Tripura,2014,14.9,4.8,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,27,7.4,2014,"Calendar Year (Jan - Dec), 2014"
Uttarakhand,2014,18.2,6,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,15.6,6.1,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2015,15.5,5.9,2015,"Calendar Year (Jan - Dec), 2015"
Andaman & Nicobar Islands,2015,12,5,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015,16.8,7.1,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015,18.8,6,2015,"Calendar Year (Jan - Dec), 2015"
