ROWID,Country,State lgd code,State,YearCode,Year,Birth rate,Death rate
64,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",22.4,7.7
65,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",21.5,7.4
66,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",21.6,7.4
67,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",21.2,7
68,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",20.8,7.1
69,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",20.6,7
70,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",18.7,6.4
71,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",18.1,6.7
72,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",17.8,6.8
73,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",17.6,7
74,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",17.3,7.2
75,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",17,7
76,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",16.6,7
77,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",16.2,6.8
78,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",15.9,6.8
79,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",15.7,6.7
80,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",15.5,6.4
81,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",15.2,6.2
82,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",14.9,6
83,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",14.9,7
84,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",14.8,6.6
85,India,4,Chandigarh,1991,"Calendar Year (Jan - Dec), 1991",13.9,4.6
86,India,4,Chandigarh,1992,"Calendar Year (Jan - Dec), 1992",15.6,3.3
87,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",18.5,2.7
88,India,4,Chandigarh,1994,"Calendar Year (Jan - Dec), 1994",19,3.7
89,India,4,Chandigarh,1995,"Calendar Year (Jan - Dec), 1995",19.5,5.7
90,India,4,Chandigarh,1996,"Calendar Year (Jan - Dec), 1996",17.5,4.3
91,India,4,Chandigarh,1997,"Calendar Year (Jan - Dec), 1997",18.8,4.2
92,India,4,Chandigarh,1998,"Calendar Year (Jan - Dec), 1998",17.9,4.1
93,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",17.9,3.9
94,India,4,Chandigarh,2000,"Calendar Year (Jan - Dec), 2000",17.5,3.9
95,India,4,Chandigarh,2001,"Calendar Year (Jan - Dec), 2001",16.1,3.5
96,India,4,Chandigarh,2002,"Calendar Year (Jan - Dec), 2002",14.6,3.4
97,India,4,Chandigarh,2003,"Calendar Year (Jan - Dec), 2003",14.8,3.8
98,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",16.1,2.9
99,India,4,Chandigarh,2005,"Calendar Year (Jan - Dec), 2005",17.3,4.5
100,India,4,Chandigarh,2006,"Calendar Year (Jan - Dec), 2006",15.8,4.1
101,India,4,Chandigarh,2007,"Calendar Year (Jan - Dec), 2007",15.7,4
102,India,4,Chandigarh,2008,"Calendar Year (Jan - Dec), 2008",16.4,4.4
103,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",15.9,3.9
104,India,4,Chandigarh,2010,"Calendar Year (Jan - Dec), 2010",15.6,3.9
105,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",15,4.1
106,India,4,Chandigarh,2012,"Calendar Year (Jan - Dec), 2012",14.8,4
107,India,4,Chandigarh,2013,"Calendar Year (Jan - Dec), 2013",14.7,4
108,India,4,Chandigarh,2014,"Calendar Year (Jan - Dec), 2014",14.3,4
109,India,4,Chandigarh,2015,"Calendar Year (Jan - Dec), 2015",13.7,4.4
110,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",13.9,4.5
111,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",13.5,4.5
112,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",13.3,4.3
113,India,5,Uttarakhand,1991,"Calendar Year (Jan - Dec), 1991",,
114,India,5,Uttarakhand,1992,"Calendar Year (Jan - Dec), 1992",,
115,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",,
116,India,5,Uttarakhand,1994,"Calendar Year (Jan - Dec), 1994",,
117,India,5,Uttarakhand,1995,"Calendar Year (Jan - Dec), 1995",,
118,India,5,Uttarakhand,1996,"Calendar Year (Jan - Dec), 1996",,
119,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",,
120,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",,
121,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",19.6,6.5
122,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",20.2,6.9
123,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",18.5,7.8
124,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",17,6.4
125,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",17.2,6.5
126,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",20.5,7.2
127,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",20.9,7.4
128,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",21,6.7
129,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",20.4,6.8
130,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",20.1,6.4
131,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",19.7,6.5
132,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",19.3,6.3
133,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",18.9,6.2
134,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",18.5,6.1
135,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",18.2,6.1
136,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",18.2,6
137,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",17.8,6.4
138,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",16.6,6.7
139,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",17.3,6.7
140,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",16.7,6.2
141,India,6,Haryana,1991,"Calendar Year (Jan - Dec), 1991",33.1,8.2
142,India,6,Haryana,1992,"Calendar Year (Jan - Dec), 1992",32,8.7
143,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",30.9,7.9
144,India,6,Haryana,1994,"Calendar Year (Jan - Dec), 1994",30.8,8.1
145,India,6,Haryana,1995,"Calendar Year (Jan - Dec), 1995",29.9,8.1
146,India,6,Haryana,1996,"Calendar Year (Jan - Dec), 1996",28.8,8.1
147,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",28.3,8
148,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",27.6,8.2
149,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",26.8,7.7
150,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",26.9,7.5
151,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",26.7,7.6
152,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",26.6,7.1
153,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",26.3,7.1
154,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",25.1,6.6
155,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",24.3,6.7
156,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",23.9,6.5
157,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",23.4,6.6
158,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",23,6.9
159,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",22.7,6.6
160,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",22.3,6.6
161,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",21.8,6.5
162,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",21.6,6.4
163,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",21.3,6.3
164,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",21.2,6.1
165,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",20.9,6.1
166,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",20.7,5.9
167,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",20.5,5.8
168,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",20.3,5.9
169,India,7,Delhi,1991,"Calendar Year (Jan - Dec), 1991",24.7,6.3
170,India,7,Delhi,1992,"Calendar Year (Jan - Dec), 1992",26,6.5
171,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",22.7,4.3
172,India,7,Delhi,1994,"Calendar Year (Jan - Dec), 1994",24.8,7
173,India,7,Delhi,1995,"Calendar Year (Jan - Dec), 1995",23.3,6
174,India,7,Delhi,1996,"Calendar Year (Jan - Dec), 1996",21.6,5.7
175,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",21.1,5.4
176,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",19.4,5.3
177,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",20.3,4.8
178,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",20.3,5.1
179,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",18.7,5
180,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",17.2,5.1
181,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",17.3,5
182,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",18.4,4.7
183,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",18.6,4.6
184,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",18.4,4.7
185,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",18.1,4.8
186,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",18.4,4.8
187,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",18.1,4.4
188,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",17.8,4.2
189,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",17.5,4.3
190,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",17.3,4.2
191,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",17.2,4.1
192,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",16.8,3.8
193,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",16.4,3.6
194,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",15.5,4
195,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",15.2,3.7
196,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",14.7,3.3
197,India,8,Rajasthan,1991,"Calendar Year (Jan - Dec), 1991",35,10.1
198,India,8,Rajasthan,1992,"Calendar Year (Jan - Dec), 1992",34.9,10.5
199,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",34,9.1
200,India,8,Rajasthan,1994,"Calendar Year (Jan - Dec), 1994",33.7,9
201,India,8,Rajasthan,1995,"Calendar Year (Jan - Dec), 1995",33.3,9.1
202,India,8,Rajasthan,1996,"Calendar Year (Jan - Dec), 1996",32.4,9.1
203,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",32.1,8.9
204,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",31.6,8.8
205,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",31.1,8.4
206,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",31.4,8.5
207,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",31,7.9
208,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",30.6,7.7
209,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",30.3,7.6
210,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",29,7
211,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",28.6,7
212,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",28.3,6.9
213,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",27.9,6.8
214,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",27.5,6.8
215,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",27.2,6.6
216,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",26.7,6.7
217,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",26.2,6.7
218,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",25.9,6.6
219,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",25.6,6.5
220,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",25,6.4
221,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",24.8,6.3
222,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",24.3,6.1
223,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",24.1,6
224,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",24,5.9
225,India,9,Uttar Pradesh,1991,"Calendar Year (Jan - Dec), 1991",35.7,11.3
226,India,9,Uttar Pradesh,1992,"Calendar Year (Jan - Dec), 1992",36.3,12.8
227,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",36.2,11.6
228,India,9,Uttar Pradesh,1994,"Calendar Year (Jan - Dec), 1994",35.4,11
229,India,9,Uttar Pradesh,1995,"Calendar Year (Jan - Dec), 1995",34.8,10.3
230,India,9,Uttar Pradesh,1996,"Calendar Year (Jan - Dec), 1996",34,10.3
231,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",33.5,10.3
232,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",32.4,10.5
233,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",32.8,10.5
234,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",32.8,10.3
235,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",32.1,10.1
236,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",31.6,9.7
237,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",31.3,9.5
238,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",30.8,8.8
239,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",30.4,8.7
240,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",30.1,8.6
241,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",29.5,8.5
242,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",29.1,8.4
243,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",28.7,8.2
244,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",28.3,8.1
245,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",27.8,7.9
246,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",27.4,7.7
247,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",27.2,7.7
248,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",27,7.4
249,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",26.7,7.2
250,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",26.2,6.9
251,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",25.9,6.7
252,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",25.6,6.6
253,India,10,Bihar,1991,"Calendar Year (Jan - Dec), 1991",30.7,9.8
254,India,10,Bihar,1992,"Calendar Year (Jan - Dec), 1992",32.3,10.9
255,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",32,10.6
256,India,10,Bihar,1994,"Calendar Year (Jan - Dec), 1994",32.5,10.4
257,India,10,Bihar,1995,"Calendar Year (Jan - Dec), 1995",32.1,10.5
258,India,10,Bihar,1996,"Calendar Year (Jan - Dec), 1996",32.1,10.2
259,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",31.7,10
260,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",31.1,9.4
261,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",31.5,8.9
262,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",31.9,8.8
263,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",31.2,8.2
264,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",30.9,7.9
265,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",30.7,7.9
266,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",30.2,8.1
267,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",30.4,8.1
268,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",29.9,7.7
269,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",29.4,7.5
270,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",28.9,7.3
271,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",28.5,7
272,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",28.1,6.8
273,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",27.7,6.7
274,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",27.7,6.6
275,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",27.6,6.6
276,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",25.9,6.2
277,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",26.3,6.2
278,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",26.8,6
279,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",26.4,5.8
280,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",26.2,5.8
281,India,11,Sikkim,1991,"Calendar Year (Jan - Dec), 1991",22.5,7.5
282,India,11,Sikkim,1992,"Calendar Year (Jan - Dec), 1992",22,5.8
283,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",24.3,6.9
284,India,11,Sikkim,1994,"Calendar Year (Jan - Dec), 1994",24.6,2.9
285,India,11,Sikkim,1995,"Calendar Year (Jan - Dec), 1995",22.5,6.9
286,India,11,Sikkim,1996,"Calendar Year (Jan - Dec), 1996",20,6.5
287,India,11,Sikkim,1997,"Calendar Year (Jan - Dec), 1997",19.8,6.5
288,India,11,Sikkim,1998,"Calendar Year (Jan - Dec), 1998",20.9,6.1
289,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",21.6,5.8
290,India,11,Sikkim,2000,"Calendar Year (Jan - Dec), 2000",21.8,5.7
291,India,11,Sikkim,2001,"Calendar Year (Jan - Dec), 2001",21.6,5.1
292,India,11,Sikkim,2002,"Calendar Year (Jan - Dec), 2002",21.9,4.9
293,India,11,Sikkim,2003,"Calendar Year (Jan - Dec), 2003",21.9,5
294,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",19.5,4.9
295,India,11,Sikkim,2005,"Calendar Year (Jan - Dec), 2005",19.9,5.1
296,India,11,Sikkim,2006,"Calendar Year (Jan - Dec), 2006",19.2,5.6
297,India,11,Sikkim,2007,"Calendar Year (Jan - Dec), 2007",18.1,5.3
298,India,11,Sikkim,2008,"Calendar Year (Jan - Dec), 2008",18.4,5.2
299,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",18.1,5.7
300,India,11,Sikkim,2010,"Calendar Year (Jan - Dec), 2010",17.8,5.6
301,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",17.6,5.6
302,India,11,Sikkim,2012,"Calendar Year (Jan - Dec), 2012",17.2,5.4
303,India,11,Sikkim,2013,"Calendar Year (Jan - Dec), 2013",17.1,5.2
304,India,11,Sikkim,2014,"Calendar Year (Jan - Dec), 2014",17.1,5.1
305,India,11,Sikkim,2015,"Calendar Year (Jan - Dec), 2015",17,5
306,India,11,Sikkim,2016,"Calendar Year (Jan - Dec), 2016",16.6,4.7
307,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",16.4,4.5
308,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",16.3,4.5
309,India,12,Arunachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",30.9,13.5
310,India,12,Arunachal Pradesh,1992,"Calendar Year (Jan - Dec), 1992",26.6,9.4
311,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",28,8.9
312,India,12,Arunachal Pradesh,1994,"Calendar Year (Jan - Dec), 1994",28.5,9.9
313,India,12,Arunachal Pradesh,1995,"Calendar Year (Jan - Dec), 1995",23.8,6
314,India,12,Arunachal Pradesh,1996,"Calendar Year (Jan - Dec), 1996",21.9,5.5
315,India,12,Arunachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",21.4,5.8
316,India,12,Arunachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",22.5,6.1
317,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",22.3,6
318,India,12,Arunachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",22.3,6
319,India,12,Arunachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",22,5.5
