ROWID,Country,State lgd code,State,YearCode,Year,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation
866,India,35,Andaman And Nicobar Islands,2016,"Financial Year (Apr - Mar), 2016",18,1536,-1664,1130,-128,2666,334,421,731,12730,13322,296,592,-237,59,75
867,India,35,Andaman And Nicobar Islands,2017,"Financial Year (Apr - Mar), 2017",18,2142,-1309,1306,833,3449,249,324,676,13314,14328,659,1013,-262,93,5
868,India,35,Andaman And Nicobar Islands,2018,"Financial Year (Apr - Mar), 2018",14,1511,862,903,2373,2414,213,289,718,3287,4402,889,1116,-138,89,326
869,India,36,Telangana,1991,"Financial Year (Apr - Mar), 1991",6609.99698699859425500968,709146.89688840290506694760,90358.14563945185795528384,207290.78016734227920238690,799505.04252785476302223144,916437.67705574518426933450,296957.79789743478000729094,356427.90602614114079146894,55499.64036679398204121764,646464.49245284185553950732,825063.94585367783981882190,131824.57865387072525864002,178599.86724988350485245852,59598.81518248525903194334,106374.10377849803862576184,124982.82620026061004302394
870,India,36,Telangana,1992,"Financial Year (Apr - Mar), 1992",7230.77055827945397091968,826275.69586481807798427822,269874.27468054591174842552,244306.68052472490291581232,1096149.97054536398973270374,1070582.37638954298090009054,324790.38789033588565668776,403449.43480542866140593174,74758.10579316385329446554,809713.04313399722019065548,1039868.98317685116559572738,177876.04526577002242370746,230156.35389190146597821584,40330.83122802241459638482,92611.13985415385815089320,163407.05486635574416527718
871,India,36,Telangana,1993,"Financial Year (Apr - Mar), 1993",6301.67944659576726277438,920579.47832333108029388602,90704.95114127409824990556,268597.13651989742302622668,1011284.42946460517854379158,1189176.61484322850332011270,298779.56140462034298691482,366039.96400385397263261938,79756.57458911733572697286,920183.83863390141236827938,1174315.29554676472172122730,203167.60210689480896931268,254131.45691286330935294792,62423.33493181317073933384,113387.18973778167112296908,119261.77696733620690119738
872,India,36,Telangana,1994,"Financial Year (Apr - Mar), 1994",6876.51577360184335970704,1033139.79766416664627526298,109224.69601781974644122056,352807.55455843116692828182,1142364.49368198639271648354,1385947.35222259781320354480,368171.28659858492432391038,443133.83382122394075148228,108801.32844220620011496994,1176960.61865851622525729178,1556857.07647145402789531024,314885.32478697848802962780,379896.45781293780263801846,93334.96183826734057964426,158346.09486422665518803492,230069.03174287462504484450
873,India,36,Telangana,1995,"Financial Year (Apr - Mar), 1995",7656.20737913060316289000,1008358.10284958720584299184,279192.49983451913665737856,415150.18892597782590454736,1287550.60268410634250037040,1423508.29177556503174753920,418825.58231700803599587850,499064.70489553436000868540,140646.18495081926239486506,1427446.47931177080578527224,1915256.55935998317914450934,405870.45173342401429798074,487810.08004821237335923710,-59981.62555144178919008784,21958.00276334656987116852,89681.50244675572086494194
874,India,36,Telangana,1996,"Financial Year (Apr - Mar), 1996",7567.64368296120051008684,1034885.41294660842379640190,236263.11043711504329019448,396171.48545573186209660290,1309040.12832565962357259884,1432999.91968044937680380310,353708.50393488345466263920,420564.57601468948434671438,129095.24418547254537435572,1510029.64289545365608535530,1839284.22046139396424572384,436275.52740571300261010860,414492.58278946763517882670,130068.61714524093340890260,200064.14809953803096290662,228942.94848457114552018376
875,India,36,Telangana,1997,"Financial Year (Apr - Mar), 1997",7763.80813148595218031440,1311222.76820228312633373840,266562.24075323876487747370,447527.25530970234524754932,1577785.00895552189121121210,1758750.02351198547158128772,425524.97069827107404997922,500283.49034048244791758870,148206.37935092509258836098,1761990.87540311907987148186,2348688.52996018232368260620,479211.53838787742514759572,586697.65455706324381112434,44663.83075556281541343662,152149.94692474863407696524,173281.49314019661937968558
