srcStateName,srcYear,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation,YearCode,Year
Odisha,2012-13,2854,16377525,624989,2668510,17002514,19046035,213079,263651,530189,8897360,11369603,1805725,2472243,2184539,2851057,3420312,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2012-13,911,507747,428446,337205,936193,844952,36945,48527,87899,1729748,1975300,170457,245552,-12262,62833,77625,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2012-13,12427,3906929,1916251,3154920,5823180,7061849,468127,583520,736779,14770944,17103386,1984470,2332442,281184,629156,942312,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2012-13,8782,6142162,2638671,2693085,8780833,8835247,339700,443027,724240,16421196,19938133,3013961,3516937,726154,1229130,1660754,2012,"Financial Year (Apr - Mar), 2012"
Sikkim,2012-13,65,144075,127950,90001,272025,234076,8052,10278,23258,256488,631265,364809,374777,351,10320,33592,2012,"Financial Year (Apr - Mar), 2012"
Tamil Nadu,2012-13,36869,18724233,5070648,10501774,23794881,29226006,1602447,1965020,3109133,51070952,61952533,9136446,10881581,1425275,3170411,4196426,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2013-14,7132,2342965,588205,1521776,2931170,3864741,290055,351662,541317,11579148,13105441,1345969,1526293,598960,779284,823877,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2013-14,8859,8094660,2394706,4295222,10489366,12389882,522241,645738,1072868,24854988,27637949,2243761,2782961,395025,934224,1080456,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013-14,2936,5479327,822018,2153531,6301345,7632858,312131,386654,651128,13485768,17725377,3786410,4239609,102011,555210,722267,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013-14,14463,10243627,2867348,6701002,13110975,16944630,701782,912206,1737049,35044248,41126757,5187064,6082509,506746,1402191,1781548,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2013-14,552,27221,19263,17030,46484,44251,26524,29121,10925,96571,131623,31661,35052,831,4221,3559,2013,"Financial Year (Apr - Mar), 2013"
Telangana,2013-14,14110,5694436,3831375,3377014,9525811,9071450,629361,747062,1021006,13631996,17133649,3012612,3501653,175137,664178,939090,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013-14,37378,27081648,4836720,10971719,31918368,38053367,1641460,2046553,3752027,57019375,67695733,8721268,10676358,1453991,3409081,4204053,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2013-14,66,173938,168912,96697,342850,270635,10227,12749,29247,286816,710303,411195,423487,-1880,10412,14110,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013-14,8820,7149502,2651020,3138313,9800522,10287816,356006,470078,878277,18194200,21469179,2681144,3274979,583107,1176942,1370618,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2013-14,12278,3935562,2542778,3743267,6478340,7678829,485520,602818,824034,15825805,18210659,2006476,2384854,242098,620476,995891,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013-14,857,440126,414939,326639,855065,766764,39751,50108,80518,1557868,2007285,407272,449417,11754,53899,107792,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2013-14,2714,21086599,1101487,3025854,22188086,24112454,206788,260771,589567,9303658,12237946,2133980,2934288,1960645,2760953,3067194,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2013-14,134,17872,15643,9864,33515,27736,3303,3746,2047,31631,39707,7629,8076,29,476,-3845,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2013-14,108,362758,101183,80045,463941,442803,10998,13434,22233,299734,381377,47451,81643,-7897,26295,239090,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2013-14,145,9793,7125,7064,16918,16857,4988,5879,3453,31455,37752,5208,6297,-291,798,478,2013,"Financial Year (Apr - Mar), 2013"
Maharashtra,2013-14,29123,32636160,12041839,16080503,44677999,48716663,1328688,1886025,5339045,83739649,106597134,20051648,22857485,2804108,5609945,6647883,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2013-14,4047,8608707,1747843,2838536,10356550,11447244,239212,322833,662013,14648214,17208597,2124725,2560383,1149350,1585007,1759485,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2013-14,12107,16731050,5384211,6608916,22115261,23339966,705941,927392,2069905,37702681,44469973,5533356,6767292,913544,2147479,2901679,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013-14,2688,7134878,882234,2059994,8017112,9194872,130450,187877,609658,8335305,10779440,1987246,2444135,411062,867950,885091,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2013-14,943,517712,231033,491235,748745,1008947,52886,66829,91141,1871781,2337180,414922,465399,-15748,34729,99313,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2013-14,2806,4769133,1468483,1436421,6237616,6205555,132706,194608,457034,7316952,9954730,2276625,2637778,-79583,281570,388300,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2013-14,6117,7065108,2036985,4182259,9102093,11247367,467741,612419,1460800,251791113,29640333,3709582,4461220,370196,1121834,1530091,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2013-14,22876,38265385,8552409,16547853,46817794,54813239,1049725,1372669,2773399,107510149,123064181,12842005,15554032,4709374,7421402,7718121,2013,"Financial Year (Apr - Mar), 2013"
Goa,2013-14,618,793409,348753,526213,1142162,1319622,39618,56684,167754,2539663,3379150,763987,839487,16496,91995,139308,2013,"Financial Year (Apr - Mar), 2013"
Delhi,2013-14,3918,572580,1065627,1094505,1638207,1667085,75273,112180,253237,5057130,5901429,787841,844299,33950,90408,171316,2013,"Financial Year (Apr - Mar), 2013"
Daman & Diu,2013-14,1881,1027888,917863,741397,1945751,1769285,89215,109462,186993,3402752,4110609,616659,707857,96493,187691,264652,2013,"Financial Year (Apr - Mar), 2013"
Dadra & Nagar Haveli,2013-14,1405,3410225,1226207,1345254,4636432,4755479,83397,148522,200842,8372069,9596018,1022199,1223949,388942,590692,821765,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2013-14,2534,6408052,5035782,1683559,11443834,8091611,131032,166236,483647,8153091,10599069,2125353,2445978,911657,1232281,1300026,2013,"Financial Year (Apr - Mar), 2013"
Chandigarh,2013-14,285,177381,90889,100318,268270,277699,8030,13143,34969,580830,658424,68185,77594,44101,53510,33229,2013,"Financial Year (Apr - Mar), 2013"
Bihar,2013-14,3419,803738,-55787,588008,747951,1391746,96122,113594,110631,4945635,5529620,515457,583985,23236,91763,171153,2013,"Financial Year (Apr - Mar), 2013"
Assam,2013-14,3518,1444632,713478,691024,2158110,2135656,157687,186483,212675,4840084,5761714,801755,921630,72012,191887,253735,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2013-14,,,,,,,,,,,,,,,,,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2013-14,15719,14862643,2222432,4601317,17085075,19463961,415127,522057,911322,23558737,26268382,1862780,2709645,527756,1374620,1967660,2013,"Financial Year (Apr - Mar), 2013"
Andaman & Nicobar Islands,2013-14,20,3185,-4424,1282,-1239,4468,421,521,742,16853,18397,761,1544,-379,404,516,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2014-15,2738,7566533,119929,2743019,7686462,10309552,143595,182085,643810,9449607,12108719,2120095,2659112,-37181,501836,920253,2014,"Financial Year (Apr - Mar), 2014"
Andaman & Nicobar Islands,2014-15,20,2309,-4088,1441,-1779,3751,427,520,826,16613,18400,1081,1787,-561,145,316,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2014-15,16012,14824439,568138,4766145,15392577,19590584,424075,528417,1029148,21689821,25191880,2808114,3502059,823370,1517315,1648246,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014-15,124,19175,36043,23868,55218,43043,2925,3684,3646,98699,134873,33964,36174,-1666,544,2617,2014,"Financial Year (Apr - Mar), 2014"
Assam,2014-15,3717,1616940,1113789,965936,2730729,2582876,163348,195567,226664,5188761,6176083,818613,987322,30318,199028,234168,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014-15,3529,994456,349172,595204,1343628,1589660,125557,146109,140609,5195428,5875914,582379,680486,36684,134790,84019,2014,"Financial Year (Apr - Mar), 2014"
Chandigarh,2014-15,276,82623,42108,53181,124731,135804,6534,10594,31371,384971,458239,65235,73268,7108,15140,12677,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014-15,2809,7793471,7022346,1916121,14815817,9709592,142799,179324,544824,9751457,11977648,1815125,2226191,995938,1407004,1339751,2014,"Financial Year (Apr - Mar), 2014"
Dadra & Nagar Haveli,2014-15,1411,2386629,1877638,1853867,4264267,4240496,96987,122371,262475,11342949,12889718,1241146,1546769,-161277,144346,345094,2014,"Financial Year (Apr - Mar), 2014"
Daman & Diu,2014-15,1874,949099,806402,482815,1755501,1431914,78347,97156,187263,2811751,3472979,570915,661228,54208,144522,161529,2014,"Financial Year (Apr - Mar), 2014"
Delhi,2014-15,3868,713774,1223397,1256594,1937171,1970368,80766,122852,314544,5473458,6348457,795462,874999,16975,96512,255458,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014-15,635,887143,622659,631387,1509802,1518530,45052,65610,224330,3179811,4654089,1368214,1474278,34651,140714,223162,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014-15,23433,43770158,6325276,16885736,50095434,60655894,1103204,1462206,3361155,107367379,127012504,16966808,19645125,7286599,9964916,8997896,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014-15,8243,8794812,2478618,4795509,11273430,13590321,580933,744026,1723563,30870149,36748456,4879568,5878307,394199,1392938,1514020,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014-15,2784,4875483,1640329,1469568,6515812,6345052,147796,208781,558948,8791845,12320881,3102355,3529036,-231250,195430,212378,2014,"Financial Year (Apr - Mar), 2014"
Jammu and Kashmir,2014-15,965,577918,318464,328139,896382,906057,52037,65022,97826,1825052,2406835,518554,581783,-7778,55450,100068,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014-15,12566,16902324,4573729,6459882,21476053,23362206,748372,974022,2398260,39005143,46186619,5699577,7181476,523881,2005780,2023483,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014-15,7320,2934983,852357,1430486,3787340,4365469,294325,384058,627953,11444856,12866371,1197535,1421515,404416,628397,582183,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014-15,4240,9729658,1293065,2630506,11022723,12360164,256924,344031,692741,15523991,18252994,2147740,2729003,804316,1385579,1102556,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014-15,28601,33714366,10997066,16083653,44711432,49798019,1305350,1883675,6005457,88054248,111961821,20883081,23907573,2495438,5519930,6221659,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014-15,160,11374,16913,6569,28287,17943,6568,7591,4669,29629,37736,6976,8107,109,1241,1499,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014-15,109,350312,96225,80893,446537,431206,11870,14339,23267,329898,431852,62697,101954,-6995,32262,31519,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014-15,197,20029,16695,10967,36724,30996,4843,5519,3179,31951,44889,12225,12938,-324,388,624,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014-15,2803,22947886,-297870,3547298,22650016,26495184,214836,262817,659084,10574792,13117979,1668493,2543187,-53053,821641,1289794,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014-15,716,503697,235092,283287,738789,786985,37052,46961,96886,1561955,1908970,297709,347015,14469,63775,38970,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014-15,12413,4114017,3240465,4234762,7354482,8348779,467951,583316,896993,16442537,18992516,2052371,2549979,-20576,477032,751570,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,8986,7654382,2845598,3169469,10499980,10823851,375780,487520,1023435,18181918,22141508,3261992,3959590,352955,1050554,1322150,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014-15,67,176248,149485,96226,325733,272474,11100,13675,37423,345499,802006,442439,456507,-6105,7963,6642,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,37878,22131634,6713313,10785180,28844947,32916814,1741427,2127703,4148667,59039075,70038085,8786379,10999010,-884541,1328090,1282962,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2014-15,14427,5739296,2797879,3020495,8537175,8759792,585456,692301,1079558,12581544,15975404,2883168,3393860,158994,669686,863619,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014-15,548,32428,2172,17489,34600,49917,26256,28871,11607,101151,151764,47161,50613,1086,4537,5268,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014-15,14867,10896835,2452947,6630483,13349782,17527318,673431,883331,1794653,37004244,42309844,4374723,5305600,538692,1469569,1785627,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014-15,2987,5104228,1317403,2107937,6421631,7212165,295217,374861,718428,14337076,18984940,4161647,4647864,-199705,286513,270778,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014-15,9112,8626799,2241275,4586860,10868074,13213659,504148,632470,1168044,23883699,26380232,1842630,2496533,42117,696020,828855,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2015-16,2978,5553203,1592310,2197074,7145513,7750277,308828,388389,801966,18895743,24939164,5552657,6043421,224701,715465,804858,2015,"Financial Year (Apr - Mar), 2015"
Andaman & Nicobar Islands,2015-16,19,1904,-867,1366,1037,3270,385,481,661,12824,13822,523,998,-418,57,43,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2015-16,16340,16820478,1666725,4548320,18487203,21368799,417989,520056,1115359,19497041,23377645,3119878,3880604,1512105,2272830,2400928,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,120,20929,39144,25906,60073,46834,2660,3420,3555,91234,119119,24789,27885,-1415,1680,7049,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015-16,3890,3204850,722520,755150,3927370,3960000,173328,208520,272177,4807434,5978808,994758,1171374,882220,1058836,1030662,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015-16,3623,991766,144605,516081,1136371,1507847,103267,119496,140339,4165097,4773438,523963,608341,54831,139208,101845,2015,"Financial Year (Apr - Mar), 2015"
Chandigarh,2015-16,262,109787,40837,64075,150624,173862,6436,11014,34907,481111,551486,61011,70375,279,9642,19301,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,3037,8601196,5052668,1556111,13653864,10157306,137914,171906,542300,8332273,9731760,939603,1399487,793713,1253597,1093147,2015,"Financial Year (Apr - Mar), 2015"
Dadra & Nagar Haveli,2015-16,1392,2231244,1264649,1809922,3495893,4041166,94133,117132,251598,7460671,9015052,1335392,1554381,-33543,185445,355278,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,2015-16,1832,1177391,1051688,779416,2229079,1956807,77813,95971,316867,3715509,4750918,911687,1035409,124184,247906,343682,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2015-16,3776,634222,918894,1084808,1553116,1719030,75529,114341,277464,6080067,6916261,769950,836194,44575,110818,-1765089,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015-16,654,936353,795476,573317,1731829,1509670,49358,71193,240950,3355822,4973560,1518226,1617738,65357,164869,129587,2015,"Financial Year (Apr - Mar), 2015"
