ROWID,Country,State lgd code,State,YearCode,Year,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities
297,India,30,Goa,2021,"Financial Year (Apr - Mar), 2021",14810,0,0,1852,0,2,0,816,0,0,42,860,17522,1170,2652,948,2133,98,24522
298,India,32,Kerala,2011,"Financial Year (Apr - Mar), 2011",30744,579,,11777,,3330,341,1334,0,225,193,5423,48523,6360,23786,1802,3425,66,83963
299,India,32,Kerala,2012,"Financial Year (Apr - Mar), 2012",38239,463,1,11290,0,3053,318,1626,0,229,176,5403,55397,6393,27625,1949,3374,79,94817
300,India,32,Kerala,2013,"Financial Year (Apr - Mar), 2013",48810,347,1,11323,0,2777,296,1807,0,109,158,5147,65628,6610,31311,1803,4515,100,109966
301,India,32,Kerala,2014,"Financial Year (Apr - Mar), 2014",60183,290,1,11281,0,2502,274,2027,0,165,138,5107,76862,6658,35543,1881,4702,33,125678
302,India,32,Kerala,2015,"Financial Year (Apr - Mar), 2015",71960,116,1,11813,0,2227,253,2254,0,333,117,5185,89075,7061,39307,1947,6067,100,143557
303,India,32,Kerala,2016,"Financial Year (Apr - Mar), 2016",84846,,1,12544,0,1954,232,2485,0,301,142,5113,102503,7230,47639,2012,2787,100,162271
304,India,32,Kerala,2017,"Financial Year (Apr - Mar), 2017",99532,,1,13516,0,1682,211,2884,0,295,155,5227,118276,7610,60571,2174,2892,100,191623
305,India,32,Kerala,2018,"Financial Year (Apr - Mar), 2018",115735,,1,14557,,1413,190,3021,,413,170,5208,135501,7480,67778,2483,3158,100,216499
306,India,32,Kerala,2019,"Financial Year (Apr - Mar), 2019",129719,0,1,15608,0,1146,172,3143,0,393,810,5664,150991,7243,77397,4464,3551,100,243746
307,India,32,Kerala,2020,"Financial Year (Apr - Mar), 2020",142336,0,1,17201,0,881,172,3211,0,393,965,5620,165158,8647,84088,4458,3734,100,266185
308,India,32,Kerala,2021,"Financial Year (Apr - Mar), 2021",164489,0,1,18799,0,648,172,3185,0,373,790,5167,188456,9841,89373,4468,4101,100,296339
309,India,33,Tamil Nadu,2011,"Financial Year (Apr - Mar), 2011",49723,,,26422,,978,88,3851,241,80,207,5446,81591,9394,10300,3605,9457,120,114468
310,India,33,Tamil Nadu,2012,"Financial Year (Apr - Mar), 2012",62829,0,0,25464,0,903,79,4327,219,95,91,5715,94009,9981,11413,3891,11184,150,130627
311,India,33,Tamil Nadu,2013,"Financial Year (Apr - Mar), 2013",78501,0,0,24802,0,829,71,4817,196,138,27,6079,109382,10814,12747,5324,14387,150,152805
312,India,33,Tamil Nadu,2014,"Financial Year (Apr - Mar), 2014",97182,0,0,24069,0,757,63,5457,171,234,-28,6654,127905,12129,14009,5828,19566,131,179568
313,India,33,Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",120327,,,24259,0,28,23,234,0,14,472,771,145357,12891,15332,1315,10565,150,185611
314,India,33,Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",147950,,,24926,0,616,47,6947,116,240,-76,7890,180765,13392,16970,6598,10660,131,228516
315,India,33,Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",182942,22815,,23192,0,548,40,8049,84,204,-86,8839,237788,14327,19325,1342,10688,150,283620
316,India,33,Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",218965,22815,,21355,,481,33,8776,51,251,-93,9499,272634,16112,21660,1877,14203,150,326636
317,India,33,Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",251243,22815,0,19578,0,491,27,10014,14,229,-61,10714,304350,17276,24110,8284,47344,140,401504
318,India,33,Tamil Nadu,2020,"Financial Year (Apr - Mar), 2020",301069,22815,0,17775,0,429,27,10543,0,175,-67,11107,352766,18439,25835,9033,46632,140,452845
319,India,33,Tamil Nadu,2021,"Financial Year (Apr - Mar), 2021",357088,22815,0,15972,0,371,27,11274,0,110,-73,11709,407584,21424,27242,9553,46218,140,512161
320,India,34,Puducherry,2011,"Financial Year (Apr - Mar), 2011",1787,,,1278,,0,0,0,0,0,126,126,3192,849,382,33,158,1,4614
321,India,34,Puducherry,2012,"Financial Year (Apr - Mar), 2012",2320,0,0,1251,0,0,0,0,0,0,296,296,3867,804,401,8,360,1,5441
322,India,34,Puducherry,2013,"Financial Year (Apr - Mar), 2013",2622,0,0,1225,0,0,0,0,0,0,403,403,4250,0,415,74,432,1,5171
323,India,34,Puducherry,2014,"Financial Year (Apr - Mar), 2014",3122,0,0,1161,0,0,0,0,0,0,534,534,4817,731,448,124,512,1,6632
324,India,34,Puducherry,2015,"Financial Year (Apr - Mar), 2015",3592,,,1112,0,0,0,0,0,0,629,629,5333,728,499,-26,478,1,7013
325,India,34,Puducherry,2016,"Financial Year (Apr - Mar), 2016",4042,,,881,,,,,,,770,770,5694,741,538,220,607,1,7800
326,India,34,Puducherry,2017,"Financial Year (Apr - Mar), 2017",4567,,,799,,,,,,,894,894,6261,758,603,-64,8299,1,15857
327,India,34,Puducherry,2018,"Financial Year (Apr - Mar), 2018",5055,,,,,,,,,,67,67,5122,763,649,232,497,1,7264
328,India,34,Puducherry,2019,"Financial Year (Apr - Mar), 2019",5530,0,0,0,0,0,0,0,0,0,956,956,6486,741,674,232,471,1,8604
329,India,34,Puducherry,2020,"Financial Year (Apr - Mar), 2020",6000,0,0,0,0,0,0,1,0,0,970,971,6971,590,679,232,469,1,8942
330,India,34,Puducherry,2021,"Financial Year (Apr - Mar), 2021",6550,0,0,0,0,0,0,2,0,0,1325,1327,7877,504,674,232,467,1,9755
331,India,36,Telangana,2011,"Financial Year (Apr - Mar), 2011",25652.01936151520575397696,504.06813988005808931892,,11368.84718443766483717574,,290.93588040696292018982,42.21260284709846068188,2014.916034793247299,0.00000000000000000000,51.31728189255106984856,-528.48523368377190481138,1768.37698005540904405562,39293.31166588833772452724,6413.00484037880143849424,4152.97519186895149943790,2649.04775317918869435994,5205.80716876128957762126,19.86475428098751090912,57734.42522340507701849364
332,India,36,Telangana,2012,"Financial Year (Apr - Mar), 2012",31075.51112927231680531066,403.08897228503824219756,0.00000000000000000000,10952.92889167948882751604,0.00000000000000000000,246.24018327474102064430,38.48796141941330238642,2119.128311857862340,0.00000000000000000000,45.52339522726304583340,-961.78518643781198651656,1379.77272443359086189596,43811.30171767043473692022,7140.55146591996902554076,4658.28487889157130818864,921.64182882831639155438,5754.15715672604899334176,20.69245237602865719700,62306.21565136484853959882
333,India,36,Telangana,2013,"Financial Year (Apr - Mar), 2013",37944.57762001878984842678,302.52365373753896822014,0.00000000000000000000,10748.48746220432569440968,0.00000000000000000000,201.95833519003969424272,34.76331999172814409096,2324.064588930536270,0.00000000000000000000,28.55558427891954693186,-1200.57608685718269056994,1270.51657588815955189580,50266.51916089633463609634,7155.45003163070965872260,5150.35139639353277633330,3081.52000783818762977724,6443.62966989532385114580,19.86475428098751090912,72117.33502093507606298440
334,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",46091.60996950879276002962,252.03406994002904465946,0.00000000000000000000,10502.24727892958467376538,0.00000000000000000000,157.67648710533836784114,31.45252761156355893944,2253.863013167343711,0.00000000000000000000,64.14660236568883731070,-1516.75675916290057254010,876.11843360105334572098,57721.59590293193925103150,7201.80112495301385084388,5594.41142438310775978092,3723.39988054259657602818,6937.76543263488818501016,19.45090523346693776518,81198.01082163149198731588
335,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",56398,102,0,10919,0,128,28,2337,0,59,-6,2547,69965,86,268,131,2158,50,72658
336,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",69130,,,11316,0,113,25,2754,0,45,432,3370,83816,636,1130,511,4380,50,90523
337,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",43911,8923,,10518,0,99,22,3192,0,128,277,3718,67069,1199,6594,631,6278,50,81821
338,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",113120,8923,,9674,,85,19,3747,,112,192,4154,135871,1424,9272,1521,12158,50,160296
339,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",133720,8923,0,8860,0,72,16,4546,0,88,710,5431,156934,1399,10117,1968,19738,48,190203
