srcStateName,srcYear,Infant mortality rate-per 1000 live births,YearCode,Year
Jharkhand,2012,38,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012,32,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012,12,2012,"Calendar Year (Jan - Dec), 2012"
Lakshadweep,2012,24,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012,56,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012,25,2012,"Calendar Year (Jan - Dec), 2012"
Manipur,2012,10,2012,"Calendar Year (Jan - Dec), 2012"
Meghalaya,2012,49,2012,"Calendar Year (Jan - Dec), 2012"
Mizoram,2012,35,2012,"Calendar Year (Jan - Dec), 2012"
Nagaland,2012,18,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012,53,2012,"Calendar Year (Jan - Dec), 2012"
Puducherry,2012,17,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012,28,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012,49,2012,"Calendar Year (Jan - Dec), 2012"
Sikkim,2012,24,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012,21,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2012,28,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012,53,2012,"Calendar Year (Jan - Dec), 2012"
Uttarakhand,2012,34,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012,32,2012,"Calendar Year (Jan - Dec), 2012"
Andaman & Nicobar Islands,2013,24,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013,39,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2013,32,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013,54,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013,42,2013,"Calendar Year (Jan - Dec), 2013"
Chandigarh,2013,21,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013,46,2013,"Calendar Year (Jan - Dec), 2013"
Dadra & Nagar Haveli,2013,31,2013,"Calendar Year (Jan - Dec), 2013"
Daman & Diu,2013,20,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013,24,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013,9,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013,36,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013,41,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013,35,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013,37,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013,37,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013,31,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013,12,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,2013,24,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013,54,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013,24,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,2013,10,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,2013,47,2013,"Calendar Year (Jan - Dec), 2013"
Mizoram,2013,35,2013,"Calendar Year (Jan - Dec), 2013"
Nagaland,2013,18,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013,51,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,2013,17,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013,26,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013,47,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,2013,22,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013,21,2013,"Calendar Year (Jan - Dec), 2013"
Tripura,2013,26,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013,50,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,2013,32,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013,31,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2014,39,2014,"Calendar Year (Jan - Dec), 2014"
Andaman & Nicobar Islands,2014,22,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014,30,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014,49,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,42,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014,23,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014,43,2014,"Calendar Year (Jan - Dec), 2014"
Dadra & Nagar Haveli,2014,26,2014,"Calendar Year (Jan - Dec), 2014"
Daman & Diu,2014,18,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,20,2014,"Calendar Year (Jan - Dec), 2014"
Goa,2014,10,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014,35,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,36,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014,32,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014,34,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,34,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,29,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,12,2014,"Calendar Year (Jan - Dec), 2014"
Lakshadweep,2014,20,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,52,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,22,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014,11,2014,"Calendar Year (Jan - Dec), 2014"
Meghalaya,2014,46,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,2014,32,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014,14,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014,49,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,2014,14,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014,24,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,46,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,2014,19,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014,20,2014,"Calendar Year (Jan - Dec), 2014"
Telangana,2014,35,2014,"Calendar Year (Jan - Dec), 2014"
Tripura,2014,21,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,48,2014,"Calendar Year (Jan - Dec), 2014"
Uttarakhand,2014,33,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,28,2014,"Calendar Year (Jan - Dec), 2014"
Andaman & Nicobar Islands,2015,20,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015,37,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015,30,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015,47,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,42,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,2015,21,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015,41,2015,"Calendar Year (Jan - Dec), 2015"
Dadra & Nagar Haveli,2015,21,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,2015,18,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,18,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015,9,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,33,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,36,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,28,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015,26,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,32,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,28,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,12,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,2015,20,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,50,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,21,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,2015,9,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,2015,42,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2015,32,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,2015,12,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015,46,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2015,11,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015,23,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015,43,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,2015,18,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015,19,2015,"Calendar Year (Jan - Dec), 2015"
Telangana,2015,34,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,2015,20,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015,46,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,2015,34,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015,26,2015,"Calendar Year (Jan - Dec), 2015"
Andaman & Nicobar Islands,2016,16,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2016,34,2016,"Calendar Year (Jan - Dec), 2016"
Arunachal Pradesh,2016,36,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016,44,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016,38,2016,"Calendar Year (Jan - Dec), 2016"
Chandigarh,2016,14,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016,39,2016,"Calendar Year (Jan - Dec), 2016"
Dadra & Nagar Haveli,2016,17,2016,"Calendar Year (Jan - Dec), 2016"
Daman & Diu,2016,19,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016,18,2016,"Calendar Year (Jan - Dec), 2016"
Goa,2016,8,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016,30,2016,"Calendar Year (Jan - Dec), 2016"
Haryana,2016,33,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016,25,2016,"Calendar Year (Jan - Dec), 2016"
Jammu and Kashmir,2016,24,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016,29,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016,24,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016,10,2016,"Calendar Year (Jan - Dec), 2016"
Lakshadweep,2016,19,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016,47,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016,19,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016,11,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016,39,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,2016,27,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016,12,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016,44,2016,"Calendar Year (Jan - Dec), 2016"
Puducherry,2016,10,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016,21,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016,41,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,2016,16,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016,17,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016,31,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,2016,24,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016,43,2016,"Calendar Year (Jan - Dec), 2016"
Uttarakhand,2016,38,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016,25,2016,"Calendar Year (Jan - Dec), 2016"
Andaman & Nicobar Islands,2017,14,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017,32,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017,42,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017,44,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017,35,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017,14,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017,38,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017,13,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017,17,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017,16,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017,9,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017,30,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017,22,2017,"Calendar Year (Jan - Dec), 2017"
Jammu and Kashmir,2017,23,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017,29,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017,25,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017,10,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017,20,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017,47,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017,19,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017,12,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017,39,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017,15,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017,7,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017,41,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017,11,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017,21,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017,38,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017,12,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017,16,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017,29,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017,29,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017,41,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017,32,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017,24,2017,"Calendar Year (Jan - Dec), 2017"
Andaman & Nicobar Islands,2018,9,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018,22,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,29,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,37,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,41,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,32,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,13,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018,41,2018,"Calendar Year (Jan - Dec), 2018"
Dadra & Nagar Haveli,2018,13,2018,"Calendar Year (Jan - Dec), 2018"
Daman & Diu,2018,16,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018,13,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,7,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018,28,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018,30,2018,"Calendar Year (Jan - Dec), 2018"
Jammu and Kashmir,2018,22,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,30,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018,23,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,7,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018,14,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018,48,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,19,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018,11,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018,33,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,5,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,4,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,40,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018,11,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,20,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018,37,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018,7,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,15,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018,27,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018,27,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018,43,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2018,31,2018,"Calendar Year (Jan - Dec), 2018"
