ROWID,Country,State lgd code,State,YearCode,Year,Infant mortality rate-per 1000 live births
49,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",51
50,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",49
51,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",45
52,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",44
53,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",44
54,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",43
55,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",41
56,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",38
57,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",34
58,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",30
59,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",28
60,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",26
61,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",24
62,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",23
63,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",21
64,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",21
65,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",20
66,India,4,Chandigarh,1997,"Calendar Year (Jan - Dec), 1997",40
67,India,4,Chandigarh,1998,"Calendar Year (Jan - Dec), 1998",32
68,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",28
69,India,4,Chandigarh,2000,"Calendar Year (Jan - Dec), 2000",28
70,India,4,Chandigarh,2001,"Calendar Year (Jan - Dec), 2001",24
71,India,4,Chandigarh,2002,"Calendar Year (Jan - Dec), 2002",21
72,India,4,Chandigarh,2003,"Calendar Year (Jan - Dec), 2003",19
73,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",21
74,India,4,Chandigarh,2005,"Calendar Year (Jan - Dec), 2005",19
75,India,4,Chandigarh,2006,"Calendar Year (Jan - Dec), 2006",23
76,India,4,Chandigarh,2007,"Calendar Year (Jan - Dec), 2007",27
77,India,4,Chandigarh,2008,"Calendar Year (Jan - Dec), 2008",28
78,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",25
79,India,4,Chandigarh,2010,"Calendar Year (Jan - Dec), 2010",22
80,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",20
81,India,4,Chandigarh,2012,"Calendar Year (Jan - Dec), 2012",20
82,India,4,Chandigarh,2013,"Calendar Year (Jan - Dec), 2013",21
83,India,4,Chandigarh,2014,"Calendar Year (Jan - Dec), 2014",23
84,India,4,Chandigarh,2015,"Calendar Year (Jan - Dec), 2015",21
85,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",14
86,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",14
87,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",13
88,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",
89,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",
90,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",52
91,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",50
92,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",48
93,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",41
94,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",41
95,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",42
96,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",42
97,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",43
98,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",48
99,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",44
100,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",41
101,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",38
102,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",36
103,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",34
104,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",32
105,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",33
106,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",34
107,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",38
108,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",32
109,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",31
110,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",68
111,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",70
112,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",68
113,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",67
114,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",65
115,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",62
116,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",59
117,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",61
118,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",60
119,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",57
120,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",55
121,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",54
122,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",51
123,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",48
124,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",44
125,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",42
126,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",41
127,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",36
128,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",36
129,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",33
130,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",30
131,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",35
132,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",36
133,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",31
134,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",32
135,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",29
