srcStateName,srcYear,Number of Employees,Mandays Employees,YearCode,Year
Chandigarh,2015-16,4530,3391,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,32612,56871,2015,"Financial Year (Apr - Mar), 2015"
Dadra & Nagar Haveli,2015-16,22879,37578,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,2015-16,17920,29448,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2015-16,37683,34448,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015-16,21726,22505,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,2015-16,366794,484696,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2015-16,154892,212410,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015-16,52335,57419,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,2015-16,15747,20708,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,37356,57175,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015-16,233503,306582,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,63455,94846,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,89233,110421,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015-16,593483,605894,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015-16,942,2227,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015-16,2276,4024,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015-16,571,1255,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,47977,86040,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015-16,10686,16529,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2015-16,112650,174368,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015-16,113002,155093,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015-16,3507,3694,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015-16,383859,704186,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,108246,205811,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015-16,2837,5423,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015-16,205804,281233,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015-16,79295,120915,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,135221,195014,2015,"Financial Year (Apr - Mar), 2015"
Andaman & Nicobar Islands,2016-17,86,129,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2016-17,97373,177334,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016-17,710,923,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016-17,35308,53955,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016-17,15488,25664,2016,"Financial Year (Apr - Mar), 2016"
Chandigarh,2016-17,4316,3195,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016-17,39186,60608,2016,"Financial Year (Apr - Mar), 2016"
Dadra & Nagar Haveli,2016-17,28141,40319,2016,"Financial Year (Apr - Mar), 2016"
Daman & Diu,2016-17,23026,34508,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2016-17,34965,33815,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016-17,19592,20991,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016-17,381153,508807,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016-17,174292,245094,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016-17,55946,60883,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2016-17,15741,22339,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,44182,59881,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2016-17,234990,323720,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016-17,67037,91263,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016-17,91198,115878,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016-17,555410,593094,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016-17,989,2257,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016-17,1839,3795,2016,"Financial Year (Apr - Mar), 2016"
