ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
681,India,30,Goa,1995,"Financial Year (Apr - Mar), 1995",20975,6810
682,India,30,Goa,1996,"Financial Year (Apr - Mar), 1996",23832,7697
683,India,30,Goa,1997,"Financial Year (Apr - Mar), 1997",27579,
684,India,30,Goa,1999,"Financial Year (Apr - Mar), 1999",28981,9114
685,India,30,Goa,2000,"Financial Year (Apr - Mar), 2000",,9717
686,India,30,Goa,2001,"Financial Year (Apr - Mar), 2001",,8862
687,India,30,Goa,2002,"Financial Year (Apr - Mar), 2002",,10995
688,India,30,Goa,2003,"Financial Year (Apr - Mar), 2003",,10808
689,India,30,Goa,2004,"Financial Year (Apr - Mar), 2004",,11911
690,India,30,Goa,2005,"Financial Year (Apr - Mar), 2005",,12352
691,India,30,Goa,2006,"Financial Year (Apr - Mar), 2006",,13078
692,India,30,Goa,2007,"Financial Year (Apr - Mar), 2007",,16018
693,India,30,Goa,2008,"Financial Year (Apr - Mar), 2008",12550,16497
694,India,30,Goa,2009,"Financial Year (Apr - Mar), 2009",12754,16980
695,India,30,Goa,2010,"Financial Year (Apr - Mar), 2010",17024,17056
696,India,30,Goa,2011,"Financial Year (Apr - Mar), 2011",21261,20743
697,India,30,Goa,2012,"Financial Year (Apr - Mar), 2012",18492,16730
698,India,30,Goa,2013,"Financial Year (Apr - Mar), 2013",16970,17651
699,India,30,Goa,2014,"Financial Year (Apr - Mar), 2014",20431,20422
700,India,30,Goa,2015,"Financial Year (Apr - Mar), 2015",21726,22505
701,India,30,Goa,2016,"Financial Year (Apr - Mar), 2016",19592,20991
702,India,30,Goa,2017,"Financial Year (Apr - Mar), 2017",24667,25384
703,India,32,Kerala,1991,"Financial Year (Apr - Mar), 1991",278684,75513
704,India,32,Kerala,1992,"Financial Year (Apr - Mar), 1992",321499,80490
705,India,32,Kerala,1993,"Financial Year (Apr - Mar), 1993",302215,72427
706,India,32,Kerala,1994,"Financial Year (Apr - Mar), 1994",352638,88802
707,India,32,Kerala,1995,"Financial Year (Apr - Mar), 1995",324439,86227
708,India,32,Kerala,1996,"Financial Year (Apr - Mar), 1996",330066,91463
709,India,32,Kerala,1997,"Financial Year (Apr - Mar), 1997",358061,
710,India,32,Kerala,1999,"Financial Year (Apr - Mar), 1999",303286,79724
711,India,32,Kerala,2000,"Financial Year (Apr - Mar), 2000",,78140
712,India,32,Kerala,2001,"Financial Year (Apr - Mar), 2001",,73380
713,India,32,Kerala,2002,"Financial Year (Apr - Mar), 2002",,68019
714,India,32,Kerala,2003,"Financial Year (Apr - Mar), 2003",,75634
715,India,32,Kerala,2004,"Financial Year (Apr - Mar), 2004",,81004
716,India,32,Kerala,2005,"Financial Year (Apr - Mar), 2005",,85404
717,India,32,Kerala,2006,"Financial Year (Apr - Mar), 2006",,84914
718,India,32,Kerala,2007,"Financial Year (Apr - Mar), 2007",,91292
719,India,32,Kerala,2008,"Financial Year (Apr - Mar), 2008",48080,101329
720,India,32,Kerala,2009,"Financial Year (Apr - Mar), 2009",48084,98533
721,India,32,Kerala,2010,"Financial Year (Apr - Mar), 2010",51913,105631
722,India,32,Kerala,2011,"Financial Year (Apr - Mar), 2011",55559,108066
723,India,32,Kerala,2012,"Financial Year (Apr - Mar), 2012",58521,105610
724,India,32,Kerala,2013,"Financial Year (Apr - Mar), 2013",59055,101794
725,India,32,Kerala,2014,"Financial Year (Apr - Mar), 2014",86988,103131
726,India,32,Kerala,2015,"Financial Year (Apr - Mar), 2015",63455,94846
727,India,32,Kerala,2016,"Financial Year (Apr - Mar), 2016",67037,91263
728,India,32,Kerala,2017,"Financial Year (Apr - Mar), 2017",66111,87449
729,India,33,Tamil Nadu,1991,"Financial Year (Apr - Mar), 1991",993229,304273
730,India,33,Tamil Nadu,1992,"Financial Year (Apr - Mar), 1992",1067977,330075
731,India,33,Tamil Nadu,1993,"Financial Year (Apr - Mar), 1993",1107829,348075
732,India,33,Tamil Nadu,1994,"Financial Year (Apr - Mar), 1994",1150913,357281
733,India,33,Tamil Nadu,1995,"Financial Year (Apr - Mar), 1995",1237400,406195
734,India,33,Tamil Nadu,1996,"Financial Year (Apr - Mar), 1996",1238882,386850
735,India,33,Tamil Nadu,1997,"Financial Year (Apr - Mar), 1997",1271838,
736,India,33,Tamil Nadu,1999,"Financial Year (Apr - Mar), 1999",1103970,337697
737,India,33,Tamil Nadu,2000,"Financial Year (Apr - Mar), 2000",,345345
738,India,33,Tamil Nadu,2001,"Financial Year (Apr - Mar), 2001",,330220
739,India,33,Tamil Nadu,2002,"Financial Year (Apr - Mar), 2002",,340304
740,India,33,Tamil Nadu,2003,"Financial Year (Apr - Mar), 2003",,352442
741,India,33,Tamil Nadu,2004,"Financial Year (Apr - Mar), 2004",,384569
742,India,33,Tamil Nadu,2005,"Financial Year (Apr - Mar), 2005",,412182
743,India,33,Tamil Nadu,2006,"Financial Year (Apr - Mar), 2006",,499869
744,India,33,Tamil Nadu,2007,"Financial Year (Apr - Mar), 2007",,459839
745,India,33,Tamil Nadu,2008,"Financial Year (Apr - Mar), 2008",303435,534831
746,India,33,Tamil Nadu,2009,"Financial Year (Apr - Mar), 2009",335429,574271
747,India,33,Tamil Nadu,2010,"Financial Year (Apr - Mar), 2010",342501,597611
748,India,33,Tamil Nadu,2011,"Financial Year (Apr - Mar), 2011",336075,593721
749,India,33,Tamil Nadu,2012,"Financial Year (Apr - Mar), 2012",351024,596221
750,India,33,Tamil Nadu,2013,"Financial Year (Apr - Mar), 2013",391525,619363
751,India,33,Tamil Nadu,2014,"Financial Year (Apr - Mar), 2014",372691,646774
752,India,33,Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",383859,704186
753,India,33,Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",391999,732353
754,India,33,Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",416037,764957
755,India,34,Puducherry,1991,"Financial Year (Apr - Mar), 1991",22968,7469
756,India,34,Puducherry,1992,"Financial Year (Apr - Mar), 1992",23589,7731
757,India,34,Puducherry,1993,"Financial Year (Apr - Mar), 1993",22727,7894
758,India,34,Puducherry,1994,"Financial Year (Apr - Mar), 1994",25220,8311
759,India,34,Puducherry,1995,"Financial Year (Apr - Mar), 1995",26540,8774
760,India,34,Puducherry,1996,"Financial Year (Apr - Mar), 1996",31761,10333
761,India,34,Puducherry,1997,"Financial Year (Apr - Mar), 1997",36988,
762,India,34,Puducherry,1999,"Financial Year (Apr - Mar), 1999",,12883
763,India,34,Puducherry,2000,"Financial Year (Apr - Mar), 2000",,12544
764,India,34,Puducherry,2001,"Financial Year (Apr - Mar), 2001",,11928
765,India,34,Puducherry,2002,"Financial Year (Apr - Mar), 2002",,13339
766,India,34,Puducherry,2003,"Financial Year (Apr - Mar), 2003",,12416
767,India,34,Puducherry,2004,"Financial Year (Apr - Mar), 2004",,12988
768,India,34,Puducherry,2005,"Financial Year (Apr - Mar), 2005",,13568
769,India,34,Puducherry,2006,"Financial Year (Apr - Mar), 2006",,15575
770,India,34,Puducherry,2007,"Financial Year (Apr - Mar), 2007",,15761
771,India,34,Puducherry,2008,"Financial Year (Apr - Mar), 2008",9638,15290
772,India,34,Puducherry,2009,"Financial Year (Apr - Mar), 2009",10587,15848
773,India,34,Puducherry,2010,"Financial Year (Apr - Mar), 2010",10480,17697
774,India,34,Puducherry,2011,"Financial Year (Apr - Mar), 2011",10262,16841
775,India,34,Puducherry,2012,"Financial Year (Apr - Mar), 2012",11401,14085
776,India,34,Puducherry,2013,"Financial Year (Apr - Mar), 2013",10140,14650
777,India,34,Puducherry,2014,"Financial Year (Apr - Mar), 2014",9757,14153
778,India,34,Puducherry,2015,"Financial Year (Apr - Mar), 2015",10686,16529
779,India,34,Puducherry,2016,"Financial Year (Apr - Mar), 2016",9547,14409
780,India,34,Puducherry,2017,"Financial Year (Apr - Mar), 2017",11863,15652
781,India,35,Andaman And Nicobar Islands,1991,"Financial Year (Apr - Mar), 1991",5434,1660
782,India,35,Andaman And Nicobar Islands,1992,"Financial Year (Apr - Mar), 1992",6069,1934
783,India,35,Andaman And Nicobar Islands,1993,"Financial Year (Apr - Mar), 1993",6587,2088
784,India,35,Andaman And Nicobar Islands,1994,"Financial Year (Apr - Mar), 1994",6697,2144
785,India,35,Andaman And Nicobar Islands,1995,"Financial Year (Apr - Mar), 1995",8590,2700
786,India,35,Andaman And Nicobar Islands,1996,"Financial Year (Apr - Mar), 1996",6598,2088
787,India,35,Andaman And Nicobar Islands,1997,"Financial Year (Apr - Mar), 1997",6875,
788,India,35,Andaman And Nicobar Islands,1999,"Financial Year (Apr - Mar), 1999",,688
789,India,35,Andaman And Nicobar Islands,2000,"Financial Year (Apr - Mar), 2000",,539
790,India,35,Andaman And Nicobar Islands,2001,"Financial Year (Apr - Mar), 2001",,191
791,India,35,Andaman And Nicobar Islands,2002,"Financial Year (Apr - Mar), 2002",,117
792,India,35,Andaman And Nicobar Islands,2003,"Financial Year (Apr - Mar), 2003",,84
793,India,35,Andaman And Nicobar Islands,2004,"Financial Year (Apr - Mar), 2004",,77
794,India,35,Andaman And Nicobar Islands,2005,"Financial Year (Apr - Mar), 2005",,113
795,India,35,Andaman And Nicobar Islands,2006,"Financial Year (Apr - Mar), 2006",,89
796,India,35,Andaman And Nicobar Islands,2007,"Financial Year (Apr - Mar), 2007",,106
797,India,35,Andaman And Nicobar Islands,2008,"Financial Year (Apr - Mar), 2008",61,108
798,India,35,Andaman And Nicobar Islands,2009,"Financial Year (Apr - Mar), 2009",76,118
799,India,35,Andaman And Nicobar Islands,2010,"Financial Year (Apr - Mar), 2010",87,112
800,India,35,Andaman And Nicobar Islands,2011,"Financial Year (Apr - Mar), 2011",75,130
801,India,35,Andaman And Nicobar Islands,2012,"Financial Year (Apr - Mar), 2012",101,150
802,India,35,Andaman And Nicobar Islands,2013,"Financial Year (Apr - Mar), 2013",95,152
803,India,35,Andaman And Nicobar Islands,2014,"Financial Year (Apr - Mar), 2014",91,157
804,India,35,Andaman And Nicobar Islands,2015,"Financial Year (Apr - Mar), 2015",94,153
805,India,35,Andaman And Nicobar Islands,2016,"Financial Year (Apr - Mar), 2016",86,129
806,India,35,Andaman And Nicobar Islands,2017,"Financial Year (Apr - Mar), 2017",73,101
807,India,36,Telangana,1991,"Financial Year (Apr - Mar), 1991",350759.82947129937101206670,105570.40892821308558023036
808,India,36,Telangana,1992,"Financial Year (Apr - Mar), 1992",386770.49049225452255886186,115631.49312248573928255570
809,India,36,Telangana,1993,"Financial Year (Apr - Mar), 1993",361289.80463641283408647606,109637.30351819775786572874
810,India,36,Telangana,1994,"Financial Year (Apr - Mar), 1994",434227.38846953368612074954,133618.20042582488926447598
811,India,36,Telangana,1995,"Financial Year (Apr - Mar), 1995",492354.97028808330762598618,153678.29145724211069753566
812,India,36,Telangana,1996,"Financial Year (Apr - Mar), 1996",421551.19214397853072186734,129400.25093349520778143950
813,India,36,Telangana,1997,"Financial Year (Apr - Mar), 1997",495913.24439866519551758230,
814,India,36,Telangana,1999,"Financial Year (Apr - Mar), 1999",376749.96350463888502464264,112683.23250794917620512714
815,India,36,Telangana,2000,"Financial Year (Apr - Mar), 2000",,108980.52507978260828629596
816,India,36,Telangana,2001,"Financial Year (Apr - Mar), 2001",,108678.82912414011046436370
817,India,36,Telangana,2002,"Financial Year (Apr - Mar), 2002",,123524.42215679811028377938
818,India,36,Telangana,2003,"Financial Year (Apr - Mar), 2003",,106577.71750987816061258032
819,India,36,Telangana,2004,"Financial Year (Apr - Mar), 2004",,114585.28273035373037467538
820,India,36,Telangana,2005,"Financial Year (Apr - Mar), 2005",,120203.28355044551080366088
821,India,36,Telangana,2006,"Financial Year (Apr - Mar), 2006",,124204.78999092193253241674
822,India,36,Telangana,2007,"Financial Year (Apr - Mar), 2007",,128908.59826504076688643878
823,India,36,Telangana,2008,"Financial Year (Apr - Mar), 2008",70775.63640887337793033092,135780.14785007236336841854
824,India,36,Telangana,2009,"Financial Year (Apr - Mar), 2009",74021.04063952971252510840,140518.71944418292586653154
825,India,36,Telangana,2010,"Financial Year (Apr - Mar), 2010",94163.48763140352801381214,162417.12794468653320497270
826,India,36,Telangana,2011,"Financial Year (Apr - Mar), 2011",99967.30667383204578442670,170834.40372220747037956836
827,India,36,Telangana,2012,"Financial Year (Apr - Mar), 2012",113192,209410
828,India,36,Telangana,2013,"Financial Year (Apr - Mar), 2013",113922,206397
829,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",103409,206300
830,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",108246,205811
831,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",114699,219792
832,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",121741,237910
833,India,37,Ladakh,1991,"Financial Year (Apr - Mar), 1991",307.09888491156932163600,96.74489800312472290570
834,India,37,Ladakh,1992,"Financial Year (Apr - Mar), 1992",320.81334366082530202530,100.72580947420062151950
835,India,37,Ladakh,1993,"Financial Year (Apr - Mar), 1993",328.18459182430100440360,104.44424326586492242250
836,India,37,Ladakh,1994,"Financial Year (Apr - Mar), 1994",429.21662525781515658570,130.03581700849569922550
837,India,37,Ladakh,1995,"Financial Year (Apr - Mar), 1995",524.08043322515676256400,154.94932341264651527560
838,India,37,Ladakh,1996,"Financial Year (Apr - Mar), 1996",480.33415332322381076400,143.35655923863428304860
839,India,37,Ladakh,1997,"Financial Year (Apr - Mar), 1997",940.39190591190169836870,
840,India,37,Ladakh,1999,"Financial Year (Apr - Mar), 1999",575.50418524987894740490,175.55382124645693557340
841,India,37,Ladakh,2000,"Financial Year (Apr - Mar), 2000",,156.32733122955740325730
842,India,37,Ladakh,2001,"Financial Year (Apr - Mar), 2001",,163.93918393249373687050
843,India,37,Ladakh,2002,"Financial Year (Apr - Mar), 2002",,166.34522932710004921950
844,India,37,Ladakh,2003,"Financial Year (Apr - Mar), 2003",,182.92506940993263795170
845,India,37,Ladakh,2004,"Financial Year (Apr - Mar), 2004",,208.45102373271051532700
846,India,37,Ladakh,2005,"Financial Year (Apr - Mar), 2005",,269.87080071502437965420
847,India,37,Ladakh,2006,"Financial Year (Apr - Mar), 2006",,314.75448389440758820100
848,India,37,Ladakh,2007,"Financial Year (Apr - Mar), 2007",,354.54172546521560786310
849,India,37,Ladakh,2008,"Financial Year (Apr - Mar), 2008",205.78250065869260526720,362.96288434633770108460
850,India,37,Ladakh,2009,"Financial Year (Apr - Mar), 2009",189.22453371581098301090,357.91018901766444515170
851,India,37,Ladakh,2010,"Financial Year (Apr - Mar), 2010",244.38859267214843523070,376.21800715662338548000
852,India,37,Ladakh,2011,"Financial Year (Apr - Mar), 2011",230.91473846235308607630,431.68829007227436836240
853,India,37,Ladakh,2012,"Financial Year (Apr - Mar), 2012",249.37566858096879173590,410.55883687964075264300
854,India,37,Ladakh,2013,"Financial Year (Apr - Mar), 2013",295.24364305814549169820,449.97423507128234221480
855,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",272.64868948879712209350,436.76285854089859077120
856,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",344.43633480786909599730,452.94898210461378293720
857,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",344.30509596816329714190,488.62407336464010513010
858,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",328.35957694390873621080,484.94938585287773717890
859,India,38,The Dadra And Nagar Haveli And Daman And Diu,1991,"Financial Year (Apr - Mar), 1991",8429.00000000000000000000,2775.00000000000000000000
860,India,38,The Dadra And Nagar Haveli And Daman And Diu,1992,"Financial Year (Apr - Mar), 1992",8933.00000000000000000000,2973.00000000000000000000
861,India,38,The Dadra And Nagar Haveli And Daman And Diu,1993,"Financial Year (Apr - Mar), 1993",12245.00000000000000000000,3775.00000000000000000000
862,India,38,The Dadra And Nagar Haveli And Daman And Diu,1994,"Financial Year (Apr - Mar), 1994",18156.00000000000000000000,5012.00000000000000000000
863,India,38,The Dadra And Nagar Haveli And Daman And Diu,1995,"Financial Year (Apr - Mar), 1995",17443.00000000000000000000,6132.00000000000000000000
864,India,38,The Dadra And Nagar Haveli And Daman And Diu,1996,"Financial Year (Apr - Mar), 1996",32452.00000000000000000000,7690.00000000000000000000
865,India,38,The Dadra And Nagar Haveli And Daman And Diu,1997,"Financial Year (Apr - Mar), 1997",37850.00000000000000000000,
866,India,38,The Dadra And Nagar Haveli And Daman And Diu,1999,"Financial Year (Apr - Mar), 1999",,23107.00000000000000000000
867,India,38,The Dadra And Nagar Haveli And Daman And Diu,2000,"Financial Year (Apr - Mar), 2000",,25043.00000000000000000000
868,India,38,The Dadra And Nagar Haveli And Daman And Diu,2001,"Financial Year (Apr - Mar), 2001",,31047.00000000000000000000
869,India,38,The Dadra And Nagar Haveli And Daman And Diu,2002,"Financial Year (Apr - Mar), 2002",,32791.00000000000000000000
870,India,38,The Dadra And Nagar Haveli And Daman And Diu,2003,"Financial Year (Apr - Mar), 2003",,34318.00000000000000000000
871,India,38,The Dadra And Nagar Haveli And Daman And Diu,2004,"Financial Year (Apr - Mar), 2004",,39073.00000000000000000000
872,India,38,The Dadra And Nagar Haveli And Daman And Diu,2005,"Financial Year (Apr - Mar), 2005",,44700.00000000000000000000
873,India,38,The Dadra And Nagar Haveli And Daman And Diu,2006,"Financial Year (Apr - Mar), 2006",,51166.00000000000000000000
874,India,38,The Dadra And Nagar Haveli And Daman And Diu,2007,"Financial Year (Apr - Mar), 2007",,52790.00000000000000000000
875,India,38,The Dadra And Nagar Haveli And Daman And Diu,2008,"Financial Year (Apr - Mar), 2008",39890.00000000000000000000,56579.00000000000000000000
876,India,38,The Dadra And Nagar Haveli And Daman And Diu,2009,"Financial Year (Apr - Mar), 2009",44853.00000000000000000000,69859.00000000000000000000
877,India,38,The Dadra And Nagar Haveli And Daman And Diu,2010,"Financial Year (Apr - Mar), 2010",49528.00000000000000000000,69761.00000000000000000000
878,India,38,The Dadra And Nagar Haveli And Daman And Diu,2011,"Financial Year (Apr - Mar), 2011",45243.00000000000000000000,68291.00000000000000000000
879,India,38,The Dadra And Nagar Haveli And Daman And Diu,2012,"Financial Year (Apr - Mar), 2012",51463.00000000000000000000,70989.00000000000000000000
880,India,38,The Dadra And Nagar Haveli And Daman And Diu,2013,"Financial Year (Apr - Mar), 2013",85145.00000000000000000000,79945.00000000000000000000
881,India,38,The Dadra And Nagar Haveli And Daman And Diu,2014,"Financial Year (Apr - Mar), 2014",43763.00000000000000000000,69521.00000000000000000000
882,India,38,The Dadra And Nagar Haveli And Daman And Diu,2015,"Financial Year (Apr - Mar), 2015",40799.00000000000000000000,67026.00000000000000000000
883,India,38,The Dadra And Nagar Haveli And Daman And Diu,2016,"Financial Year (Apr - Mar), 2016",51167.00000000000000000000,74827.00000000000000000000
884,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017,"Financial Year (Apr - Mar), 2017",50425.00000000000000000000,74424.00000000000000000000
