ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
116,India,5,Uttarakhand,2003,"Financial Year (Apr - Mar), 2003",,13152
117,India,5,Uttarakhand,2004,"Financial Year (Apr - Mar), 2004",,15582
118,India,5,Uttarakhand,2005,"Financial Year (Apr - Mar), 2005",,20627
119,India,5,Uttarakhand,2006,"Financial Year (Apr - Mar), 2006",,28238
120,India,5,Uttarakhand,2007,"Financial Year (Apr - Mar), 2007",,40273
121,India,5,Uttarakhand,2008,"Financial Year (Apr - Mar), 2008",56547,68951
122,India,5,Uttarakhand,2009,"Financial Year (Apr - Mar), 2009",49410,69944
123,India,5,Uttarakhand,2010,"Financial Year (Apr - Mar), 2010",53915,89389
124,India,5,Uttarakhand,2011,"Financial Year (Apr - Mar), 2011",68489,105923
125,India,5,Uttarakhand,2012,"Financial Year (Apr - Mar), 2012",67736,104697
126,India,5,Uttarakhand,2013,"Financial Year (Apr - Mar), 2013",74273,117870
127,India,5,Uttarakhand,2014,"Financial Year (Apr - Mar), 2014",79463,116294
128,India,5,Uttarakhand,2015,"Financial Year (Apr - Mar), 2015",79295,120915
129,India,5,Uttarakhand,2016,"Financial Year (Apr - Mar), 2016",80967,131571
130,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",86638,131862
131,India,6,Haryana,1991,"Financial Year (Apr - Mar), 1991",265144,79188
132,India,6,Haryana,1992,"Financial Year (Apr - Mar), 1992",265885,79836
133,India,6,Haryana,1993,"Financial Year (Apr - Mar), 1993",287223,86029
134,India,6,Haryana,1994,"Financial Year (Apr - Mar), 1994",305146,92140
135,India,6,Haryana,1995,"Financial Year (Apr - Mar), 1995",337987,102796
136,India,6,Haryana,1996,"Financial Year (Apr - Mar), 1996",340591,102480
137,India,6,Haryana,1997,"Financial Year (Apr - Mar), 1997",314401,
138,India,6,Haryana,1999,"Financial Year (Apr - Mar), 1999",298501,86543
139,India,6,Haryana,2000,"Financial Year (Apr - Mar), 2000",,87014
140,India,6,Haryana,2001,"Financial Year (Apr - Mar), 2001",,83781
141,India,6,Haryana,2002,"Financial Year (Apr - Mar), 2002",,86747
142,India,6,Haryana,2003,"Financial Year (Apr - Mar), 2003",,93016
143,India,6,Haryana,2004,"Financial Year (Apr - Mar), 2004",,103307
144,India,6,Haryana,2005,"Financial Year (Apr - Mar), 2005",,116041
145,India,6,Haryana,2006,"Financial Year (Apr - Mar), 2006",,125064
146,India,6,Haryana,2007,"Financial Year (Apr - Mar), 2007",,153737
147,India,6,Haryana,2008,"Financial Year (Apr - Mar), 2008",228763,144494
148,India,6,Haryana,2009,"Financial Year (Apr - Mar), 2009",119756,173545
149,India,6,Haryana,2010,"Financial Year (Apr - Mar), 2010",117515,165264
150,India,6,Haryana,2011,"Financial Year (Apr - Mar), 2011",144778,175604
151,India,6,Haryana,2012,"Financial Year (Apr - Mar), 2012",133763,166588
152,India,6,Haryana,2013,"Financial Year (Apr - Mar), 2013",142480,183571
153,India,6,Haryana,2014,"Financial Year (Apr - Mar), 2014",160265,213625
154,India,6,Haryana,2015,"Financial Year (Apr - Mar), 2015",154892,212410
155,India,6,Haryana,2016,"Financial Year (Apr - Mar), 2016",174292,245094
156,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",181335,253195
157,India,7,Delhi,1991,"Financial Year (Apr - Mar), 1991",144555,44962
158,India,7,Delhi,1992,"Financial Year (Apr - Mar), 1992",148709,45928
159,India,7,Delhi,1993,"Financial Year (Apr - Mar), 1993",156435,49084
160,India,7,Delhi,1994,"Financial Year (Apr - Mar), 1994",180509,57166
161,India,7,Delhi,1995,"Financial Year (Apr - Mar), 1995",171396,55074
162,India,7,Delhi,1996,"Financial Year (Apr - Mar), 1996",167390,52774
163,India,7,Delhi,1997,"Financial Year (Apr - Mar), 1997",135402,
164,India,7,Delhi,1999,"Financial Year (Apr - Mar), 1999",,38661
165,India,7,Delhi,2000,"Financial Year (Apr - Mar), 2000",,35904
166,India,7,Delhi,2001,"Financial Year (Apr - Mar), 2001",,35317
167,India,7,Delhi,2002,"Financial Year (Apr - Mar), 2002",,38358
168,India,7,Delhi,2003,"Financial Year (Apr - Mar), 2003",,34184
169,India,7,Delhi,2004,"Financial Year (Apr - Mar), 2004",,35896
170,India,7,Delhi,2005,"Financial Year (Apr - Mar), 2005",,38403
171,India,7,Delhi,2006,"Financial Year (Apr - Mar), 2006",,38803
172,India,7,Delhi,2007,"Financial Year (Apr - Mar), 2007",,38251
173,India,7,Delhi,2008,"Financial Year (Apr - Mar), 2008",37818,37881
174,India,7,Delhi,2009,"Financial Year (Apr - Mar), 2009",35294,36295
175,India,7,Delhi,2010,"Financial Year (Apr - Mar), 2010",42462,37106
176,India,7,Delhi,2011,"Financial Year (Apr - Mar), 2011",38959,35295
177,India,7,Delhi,2012,"Financial Year (Apr - Mar), 2012",37973,35287
178,India,7,Delhi,2013,"Financial Year (Apr - Mar), 2013",35964,33945
179,India,7,Delhi,2014,"Financial Year (Apr - Mar), 2014",41198,36985
180,India,7,Delhi,2015,"Financial Year (Apr - Mar), 2015",37683,34448
181,India,7,Delhi,2016,"Financial Year (Apr - Mar), 2016",34965,33815
182,India,7,Delhi,2017,"Financial Year (Apr - Mar), 2017",32722,30834
183,India,8,Rajasthan,1991,"Financial Year (Apr - Mar), 1991",248541,81389
184,India,8,Rajasthan,1992,"Financial Year (Apr - Mar), 1992",260707,85738
185,India,8,Rajasthan,1993,"Financial Year (Apr - Mar), 1993",251959,83056
