srcStateName,srcYear,Credit to agriculture by Scheduled Commercial Banks,Personal loans by Scheduled Commercial Banks,Credit to industry by Scheduled Commercial Banks,Credit by Scheduled Commercial Banks in India,Distribution of offices of Scheduled Commercial Banks,Deposits of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of utilisation,Credit-Deposit ratio of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of sanction,Deposits by Scheduled Commercial Banks in India,Credit of Regional Rural Banks,Number of Branches of Regional Rural Banks,YearCode,Year
Jammu and Kashmir,2020,7240,28313,9538,59202,1767,5190,46.2,50.6,45.8,128026,2626,337,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,2020,9170,27517,13736,71055,3169,7588,30.4,40.9,28.5,234106,3100,452,2020,"Financial Year (Apr - Mar), 2020"
Karnataka,2020,103972,248512,175728,741838,10778,19410,69.9,81.1,65.2,1061242,32939,1787,2020,"Financial Year (Apr - Mar), 2020"
Kerala,2020,80291,132779,42480,360892,6801,40599,66.2,108.9,65.0,545024,17910,645,2020,"Financial Year (Apr - Mar), 2020"
Ladakh,2020,254,1054,128,1812,68,16,36.6,128.2,36.1,4955,21,2,2020,"Financial Year (Apr - Mar), 2020"
Lakshadweep,2020,12,60,10,97,13,12440,8.7,,8.7,1115,,,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,2020,73320,79731,52487,285989,7234,23174,72.1,52.5,69.2,396779,12161,1343,2020,"Financial Year (Apr - Mar), 2020"
Maharashtra,2020,96250,470361,884126,2511092,13578,15649,89.4,54.0,102.0,2807751,8454,750,2020,"Financial Year (Apr - Mar), 2020"
Manipur,2020,520,4292,345,6129,203,316,59.1,51.7,57.2,10369,163,27,2020,"Financial Year (Apr - Mar), 2020"
Meghalaya,2020,572,4318,2175,8435,364,2252,35.5,33.6,35.3,23756,756,93,2020,"Financial Year (Apr - Mar), 2020"
Mizoram,2020,397,2671,275,4174,203,3478,36.8,44.2,36.1,11332,1536,88,2020,"Financial Year (Apr - Mar), 2020"
Nagaland,2020,249,3380,342,4644,176,114,37.9,29.8,37.5,12242,34,11,2020,"Financial Year (Apr - Mar), 2020"
Odisha,2020,20514,39791,35731,143879,5223,19552,42.2,41.0,39.5,341140,8018,994,2020,"Financial Year (Apr - Mar), 2020"
Puducherry,2020,2805,5233,1387,13322,267,804,66.5,84.9,64.0,20043,683,43,2020,"Financial Year (Apr - Mar), 2020"
Punjab,2020,67532,56495,58150,244057,6735,8860,59.4,77.3,57.1,410987,6846,426,2020,"Financial Year (Apr - Mar), 2020"
Rajasthan,2020,97719,100363,59655,352425,7775,29870,83.9,72.1,79.6,420150,21528,1579,2020,"Financial Year (Apr - Mar), 2020"
Sikkim,2020,154,1844,186,3216,162,,31.7,,31.2,10130,,,2020,"Financial Year (Apr - Mar), 2020"
Tamil Nadu,2020,182990,234074,258414,981665,11829,16442,109.2,98.3,107.5,899038,12229,646,2020,"Financial Year (Apr - Mar), 2020"
Tripura,2020,2835,4248,883,11346,565,7190,42.8,38.2,42.5,26487,2747,149,2020,"Financial Year (Apr - Mar), 2020"
Uttar Pradesh,2020,146162,152681,91950,507550,18041,93839,44.3,56.1,41.5,1144902,52614,4330,2020,"Financial Year (Apr - Mar), 2020"
Uttarakhand,2020,8493,22591,12309,56551,2194,5482,37.8,44.5,36.5,149549,2438,287,2020,"Financial Year (Apr - Mar), 2020"
Andaman & Nicobar Islands,2021,145,1782,122,2812,72,,46.5,,46.3,6043,,,2021,"Financial Year (Apr - Mar), 2021"
Andhra Pradesh,2021,158371,146843,80857,486536,7431,37396,135.2,102.3,131.5,359770,38244,1297,2021,"Financial Year (Apr - Mar), 2021"
West Bengal,2021,46372,107044,141557,437348,9379,26606,49.2,47.4,46.5,889011,12599,980,2021,"Financial Year (Apr - Mar), 2021"
Arunachal Pradesh,2021,248,3678,477,5897,169,837,30.2,23.9,25.2,19525,200,32,2021,"Financial Year (Apr - Mar), 2021"
Assam,2021,12992,37876,8970,83235,3020,11504,48.1,38.3,46.7,173014,4406,482,2021,"Financial Year (Apr - Mar), 2021"
Bihar,2021,49605,53366,18683,163964,7584,36671,41.2,55.6,40.1,397492,20390,2124,2021,"Financial Year (Apr - Mar), 2021"
Chandigarh,2021,1414,14834,30877,80793,442,,99.4,,96.1,81320,,,2021,"Financial Year (Apr - Mar), 2021"
Chhattisgarh,2021,13470,38233,29508,115659,2844,12472,66.8,35.7,62.7,173217,4452,624,2021,"Financial Year (Apr - Mar), 2021"
Dadra & Nagar Haveli,2021,109,2108,3039,6066,104,,52.4,,35.3,11586,,,2021,"Financial Year (Apr - Mar), 2021"
Daman & Diu,2021,,,,,,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
Delhi,2021,24771,123903,618927,1353058,3747,,96.6,,93.9,1400864,0,,2021,"Financial Year (Apr - Mar), 2021"
Goa,2021,1139,11450,3889,22166,687,,25.8,,24.5,85771,,,2021,"Financial Year (Apr - Mar), 2021"
Gujarat,2021,70723,195114,255167,659772,8582,16974,79.5,61.7,69.9,830161,10468,762,2021,"Financial Year (Apr - Mar), 2021"
Haryana,2021,51275,94627,85225,321936,5225,17652,59.8,60.6,53.4,538565,10696,666,2021,"Financial Year (Apr - Mar), 2021"
Himachal Pradesh,2021,6879,14569,5748,35899,1683,6478,32.0,37.7,30.9,112344,2443,270,2021,"Financial Year (Apr - Mar), 2021"
Jammu and Kashmir,2021,9039,34569,,69908,1800,5668,48.9,54.4,48.5,142897,3084,345,2021,"Financial Year (Apr - Mar), 2021"
Jharkhand,2021,10390,32569,15048,80679,3190,8174,31.5,42.2,29.8,256070,3450,452,2021,"Financial Year (Apr - Mar), 2021"
Karnataka,2021,121196,273734,178391,793376,10875,20712,63.2,84.6,59.8,1256023,36731,1770,2021,"Financial Year (Apr - Mar), 2021"
Kerala,2021,81895,148016,43919,388732,6869,43401,64.0,101.1,62.3,607649,18456,645,2021,"Financial Year (Apr - Mar), 2021"
Ladakh,2021,269,1342,157,2181,75,16,35.4,136.4,34.9,6161,22,2,2021,"Financial Year (Apr - Mar), 2021"
Lakshadweep,2021,10,62,4,97,21,14830,7.9,,7.8,1239,,,2021,"Financial Year (Apr - Mar), 2021"
Madhya Pradesh,2021,81506,90865,57421,320452,7248,25195,70.7,53.0,67.9,453372,13362,1343,2021,"Financial Year (Apr - Mar), 2021"
Maharashtra,2021,102900,525366,803067,2504795,13648,18253,79.2,55.4,92.5,3163108,10119,748,2021,"Financial Year (Apr - Mar), 2021"
