srcStateName,Zone,srcYear,Storage capacity,YearCode,Year
Nagaland,North-East Zone,2013,0.46,2013,"Calendar Year (Jan - Dec), 2013"
Mizoram,North-East Zone,2013,0.26,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,North-East Zone,2013,0.4,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,North Zone,2013,5.16,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,North Zone,2013,57.66,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,North Zone,2013,0.45,2013,"Calendar Year (Jan - Dec), 2013"
Jammu & Kashmir,North Zone,2013,1.41,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,North Zone,2013,168.1,2013,"Calendar Year (Jan - Dec), 2013"
Chandigarh,North Zone,2013,3.7,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,North Zone,2013,38.78,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,North Zone,2016,116.11,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,North Zone,2016,0.49,2016,"Calendar Year (Jan - Dec), 2016"
Jammu & Kashmir,North Zone,2016,2.49,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,North Zone,2016,252.56,2016,"Calendar Year (Jan - Dec), 2016"
Chandigarh,North Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,North Zone,2016,23.24,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,North Zone,2016,64.43,2016,"Calendar Year (Jan - Dec), 2016"
Uttarakhand,North Zone,2016,3.8,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,South Zone,2016,24.02,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,South Zone,2016,20.88,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,South Zone,2016,5.89,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,South Zone,2016,29.62,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,South Zone,2016,16.99,2016,"Calendar Year (Jan - Dec), 2016"
Puducherry,South Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
A&N Islands,South Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
Lakshadweep,South Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,West Zone,2016,9.26,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,West Zone,2016,31.55,2016,"Calendar Year (Jan - Dec), 2016"
Goa,West Zone,2016,0.2,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,West Zone,2016,129.66,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,West Zone,2016,24.98,2016,"Calendar Year (Jan - Dec), 2016"
Daman & Diu,West Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
D&N Haveli,West Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,East Zone,2017,15.51,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,East Zone,2017,13.44,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,East Zone,2017,18.59,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,East Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,East Zone,2017,2.9,2017,"Calendar Year (Jan - Dec), 2017"
Assam,North-East Zone,2017,3.98,2017,"Calendar Year (Jan - Dec), 2017"
Arunanchal Pradesh,North-East Zone,2017,0.39,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,North-East Zone,2017,0.43,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,North-East Zone,2017,0.32,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,North-East Zone,2017,0.44,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,North-East Zone,2017,0.25,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,North-East Zone,2017,0.23,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,North Zone,2017,3.67,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,North Zone,2017,100.99,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,North Zone,2017,0.33,2017,"Calendar Year (Jan - Dec), 2017"
Jammu & Kashmir,North Zone,2017,2.59,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,North Zone,2017,249.67,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,North Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,North Zone,2017,21.15,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,North Zone,2017,57.23,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,North Zone,2017,3.7,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,South Zone,2017,28.79,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,South Zone,2017,17.52,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,South Zone,2017,5.55,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,South Zone,2017,13.88,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,South Zone,2017,27.42,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,South Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
A&N Islands,South Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,South Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,West Zone,2017,8.77,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,West Zone,2017,31.87,2017,"Calendar Year (Jan - Dec), 2017"
Goa,West Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,West Zone,2017,124.29,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,West Zone,2017,19.03,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,West Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
D&N Haveli,West Zone,2017,0,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,East Zone,2018,25.81,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,East Zone,2018,12.1,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,East Zone,2018,18.67,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,East Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,East Zone,2018,3.68,2018,"Calendar Year (Jan - Dec), 2018"
Assam,North-East Zone,2018,4.68,2018,"Calendar Year (Jan - Dec), 2018"
Arunanchal Pradesh,North-East Zone,2018,0.27,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,North-East Zone,2018,0.44,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,North-East Zone,2018,0.32,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,North-East Zone,2018,0.48,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,North-East Zone,2018,0.93,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,North-East Zone,2018,0.22,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,North Zone,2018,3.67,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,North Zone,2018,99.17,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,North Zone,2018,0.51,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,North Zone,2018,2.79,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,North Zone,2018,201.43,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,North Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,North Zone,2018,19.9,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,North Zone,2018,58.72,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,North Zone,2018,3.93,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,South Zone,2018,26.8,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,South Zone,2018,27.37,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,South Zone,2018,7.17,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,South Zone,2018,11.56,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,South Zone,2018,43.17,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,South Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,South Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,South Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,West Zone,2018,9.28,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,West Zone,2018,33.99,2018,"Calendar Year (Jan - Dec), 2018"
Goa,West Zone,2018,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,West Zone,2018,210.73,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,West Zone,2018,15.04,2018,"Calendar Year (Jan - Dec), 2018"
Daman & Diu,West Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
D&N Haveli,West Zone,2018,0,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,East Zone,2019,22.1,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,East Zone,2019,13.15,2019,"Calendar Year (Jan - Dec), 2019"
West Bengal,East Zone,2019,19.44,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,East Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,East Zone,2019,5.51,2019,"Calendar Year (Jan - Dec), 2019"
Assam,North-East Zone,2019,3.98,2019,"Calendar Year (Jan - Dec), 2019"
Arunanchal Pradesh,North-East Zone,2019,0.3,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,North-East Zone,2019,0.99,2019,"Calendar Year (Jan - Dec), 2019"
Manipur,North-East Zone,2019,0.49,2019,"Calendar Year (Jan - Dec), 2019"
Nagaland,North-East Zone,2019,0.49,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,North-East Zone,2019,0.67,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,North-East Zone,2019,0.22,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,North Zone,2019,3.67,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,North Zone,2019,112.2,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,North Zone,2019,0.53,2019,"Calendar Year (Jan - Dec), 2019"
Jammu & Kashmir,North Zone,2019,2.46,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,North Zone,2019,234.3,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,North Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,North Zone,2019,27.83,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,North Zone,2019,62.38,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,North Zone,2019,2.94,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,South Zone,2019,25.48,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,South Zone,2019,33.42,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,South Zone,2019,7.62,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,South Zone,2019,12.49,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,South Zone,2019,31.31,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,South Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
A&N Islands,South Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,South Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,West Zone,2019,10.71,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,West Zone,2019,38.3,2019,"Calendar Year (Jan - Dec), 2019"
Goa,West Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,West Zone,2019,157.8,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,West Zone,2019,24.9,2019,"Calendar Year (Jan - Dec), 2019"
Daman & Diu,West Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
D&N Haveli,West Zone,2019,0,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,East Zone,2020,17.9,2020,"Calendar Year (Jan - Dec), 2020"
Odisha,East Zone,2020,13.39,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,East Zone,2020,3.9,2020,"Calendar Year (Jan - Dec), 2020"
Sikkim,East Zone,2020,19.13,2020,"Calendar Year (Jan - Dec), 2020"
Jharkhand,East Zone,2020,0.23,2020,"Calendar Year (Jan - Dec), 2020"
Assam,North-East Zone,2020,4.18,2020,"Calendar Year (Jan - Dec), 2020"
Arunanchal Pradesh,North-East Zone,2020,0.33,2020,"Calendar Year (Jan - Dec), 2020"
Tripura,North-East Zone,2020,0.44,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,North-East Zone,2020,0.49,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,North-East Zone,2020,0.46,2020,"Calendar Year (Jan - Dec), 2020"
Mizoram,North-East Zone,2020,0.25,2020,"Calendar Year (Jan - Dec), 2020"
Meghalaya,North-East Zone,2020,0.22,2020,"Calendar Year (Jan - Dec), 2020"
Delhi,North Zone,2020,3.67,2020,"Calendar Year (Jan - Dec), 2020"
Haryana,North Zone,2020,131.44,2020,"Calendar Year (Jan - Dec), 2020"
Himachal Pradesh,North Zone,2020,0.72,2020,"Calendar Year (Jan - Dec), 2020"
Jammu & Kashmir,North Zone,2020,2.6,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,North Zone,2020,234.27,2020,"Calendar Year (Jan - Dec), 2020"
Chandigarh,North Zone,2020,0.06,2020,"Calendar Year (Jan - Dec), 2020"
Rajasthan,North Zone,2020,19.26,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,North Zone,2020,54.17,2020,"Calendar Year (Jan - Dec), 2020"
Uttarakhand,North Zone,2020,2.47,2020,"Calendar Year (Jan - Dec), 2020"
Andhra Pradesh,South Zone,2020,22.87,2020,"Calendar Year (Jan - Dec), 2020"
Telangana,South Zone,2020,28.85,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,South Zone,2020,5.63,2020,"Calendar Year (Jan - Dec), 2020"
Karnataka,South Zone,2020,10.87,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,South Zone,2020,28.96,2020,"Calendar Year (Jan - Dec), 2020"
Puducherry,South Zone,2020,1.34,2020,"Calendar Year (Jan - Dec), 2020"
A&N Islands,South Zone,2020,0.07,2020,"Calendar Year (Jan - Dec), 2020"
Lakshadweep,South Zone,2020,0,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,West Zone,2020,7.11,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,West Zone,2020,20.49,2020,"Calendar Year (Jan - Dec), 2020"
Goa,West Zone,2020,0.2,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,West Zone,2020,92.96,2020,"Calendar Year (Jan - Dec), 2020"
Chhattisgarh,West Zone,2020,27.02,2020,"Calendar Year (Jan - Dec), 2020"
Daman & Diu,West Zone,2020,0,2020,"Calendar Year (Jan - Dec), 2020"
D&N Haveli,West Zone,2020,0,2020,"Calendar Year (Jan - Dec), 2020"
