srcStateName,srcYear,Gross sown area ,Net Sown Area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%),YearCode,Year
Rajasthan,2013-14,26120,18268,9865,7650,143,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,2013-14,147,77,13,13,190.5,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013-14,5897,4714,3311,2679,125.1,2013,"Calendar Year (Jan - Dec), 2013"
Telangana,2013-14,6288,4961,3164,2289,126.7,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2014-15,299,225,56,56,132.8,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014-15,9690,5238,5700,3102,185,2014,"Calendar Year (Jan - Dec), 2014"
Uttarakhand,2014-15,1097,700,542,330,156.7,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014-15,26147,16598,20965,14389,157.5,2014,"Calendar Year (Jan - Dec), 2014"
Tripura,2014-15,483,255,116,79,189.3,2014,"Calendar Year (Jan - Dec), 2014"
Telangana,2014-15,5315,4377,2529,1726,121.5,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014-15,5995,4819,3394,2726,124.4,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,2014-15,136,77,12,12,176,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014-15,24235,17521,10171,7882,138.3,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014-15,7857,4119,7757,4118,190.8,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,2014-15,27,16,22,13,168.3,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014-15,5173,4474,1485,1259,115.6,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,500,384,106,97,130.3,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,2014-15,145,145,21,16,100,2014,"Calendar Year (Jan - Dec), 2014"
Meghalaya,2014-15,343,286,128,81,120,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,383,383,69,69,100,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014-15,23474,17345,4564,3244,135.3,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014-15,23810,15351,10301,9584,155.1,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014-15,2625,2043,470,414,128.5,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014-15,12247,10044,4186,3589,121.9,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014-15,1554,1385,221,207,112.2,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014-15,1196,758,522,325,157.7,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014-15,918,548,190,117,167.4,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014-15,6536,3522,5824,2974,185.6,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014-15,12773,10302,6014,4233,124,2014,"Calendar Year (Jan - Dec), 2014"
Goa,2014-15,158,129,39,39,122,2014,"Calendar Year (Jan - Dec), 2014"
NCT of Delhi,2014-15,35,22,29,22,161.5,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014-15,5728,4681,1787,1468,122.4,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014-15,7673,5278,5268,2987,145.4,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014-15,4083,2827,374,296,144.4,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014-15,7690,6236,3886,2927,123.3,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2015-16,2628,2023,484,414,129.9,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015-16,7532,6209,3547,2743,121.3,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015-16,301,227,56,56,132.9,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015-16,4060,2801,388,297,144.9,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015-16,7572,5205,5247,2958,145.5,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015-16,5640,4651,1753,1476,121.3,2015,"Calendar Year (Jan - Dec), 2015"
NCT of Delhi,2015-16,58,22,37,22,267.1,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015-16,157,130,39,39,120.9,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015-16,11522,10302,6037,4233,111.8,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015-16,6510,3522,5948,2956,184.8,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015-16,933,551,206,120,169.2,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015-16,1159,754,519,356,153.7,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015-16,1812,1386,235,213,130.7,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015-16,12009,10006,3742,3243,120,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015-16,23714,15149,10029,9284,156.5,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015-16,23467,17192,4736,3215,136.5,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,2015-16,437,437,73,73,100,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,2015-16,303,245,127,80,123.3,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2015-16,188,145,31,16,130.2,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,2015-16,504,384,114,104,131.2,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015-16,4803,4198,1434,1230,114.4,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2015-16,26,15,21,13,170.8,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015-16,7872,4137,7765,4137,190.3,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015-16,25014,18024,10562,7938,138.8,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,2015-16,137,77,16,16,177,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015-16,6074,4833,3575,2833,125.7,2015,"Calendar Year (Jan - Dec), 2015"
Telangana,2015-16,4893,4175,2028,1486,117.2,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,2015-16,486,255,117,81,190.1,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015-16,26203,16469,20882,14231,159.1,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,2015-16,1083,698,541,330,155,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015-16,9881,5243,6486,3105,188.5,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,2016-17,1082,691,542,329,156.7,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2016-17,7418,6077,3582,2719,122.1,2016,"Calendar Year (Jan - Dec), 2016"
Arunachal Pradesh,2016-17,313,232,56,54,135,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016-17,4087,2774,465,362,147.4,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016-17,7654,5293,5341,3101,144.6,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016-17,5673,4664,1846,1486,121.6,2016,"Calendar Year (Jan - Dec), 2016"
NCT of Delhi,2016-17,57,22,37,22,259.5,2016,"Calendar Year (Jan - Dec), 2016"
Goa,2016-17,155,130,37,37,118.9,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016-17,11994,10302,5917,4233,116.4,2016,"Calendar Year (Jan - Dec), 2016"
Haryana,2016-17,6452,3499,5831,3146,184.4,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016-17,959,548,226,114,175.2,2016,"Calendar Year (Jan - Dec), 2016"
Jammu and Kashmir,2016-17,1177,757,497,336,155.5,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016-17,2045,1451,310,283,140.9,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016-17,11779,9855,3548,3104,119.5,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016-17,9618,5246,6317,3106,183.4,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016-17,2584,2015,497,378,128.2,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016-17,24214,15228,10671,9876,159,2016,"Calendar Year (Jan - Dec), 2016"
