ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
72,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",7931,4200,7702,4028,188.8
73,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",7868,4192,7680,4019,187.7
74,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",7861,4184,7666,4072,187.9
75,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",7870,4187,7689,4112,188
76,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",7912,4169,7724,4079,189.8
77,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",7875,4158,7714,4073,189.4
78,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",7883,4158,7724,4070,189.6
79,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",7905,4134,7771,4086,191.2
80,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",7870,4150,7744,4115,189.6
81,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",7848,4145,7732,4143,189.3
82,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",7857,4119,7757,4118,190.8
83,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",7872,4137,7765,4137,190.3
84,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",7804,4130,7714,4128,189
85,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",7779,4124,7661,4122,188.6
86,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",7850,4119,7735,4111,190.6
87,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",,,,,
88,India,5,Uttarakhand,1991,"Calendar Year (Jan - Dec), 1991",,,,,
89,India,5,Uttarakhand,1992,"Calendar Year (Jan - Dec), 1992",,,,,
90,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",,,,,
91,India,5,Uttarakhand,1994,"Calendar Year (Jan - Dec), 1994",,,,,
92,India,5,Uttarakhand,1995,"Calendar Year (Jan - Dec), 1995",,,,,
93,India,5,Uttarakhand,1996,"Calendar Year (Jan - Dec), 1996",,,,,
94,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",,,,,
95,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",,,537,,
96,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",,,537,,
97,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",1226,770,537,344,159.2
98,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",1221,776,539,346,157.3
99,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",1212,759,532,341,159.7
100,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",1222,761,547,346,160.6
101,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",1235,767,549,345,161
102,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",1212,768,549,343,157.9
103,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",1210,765,554,345,158.1
104,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",1187,755,554,341,157.3
105,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",1193,754,570,340,158.3
106,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",1166,737,567,338,158.4
107,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",1170,723,562,336,161.7
108,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",1132,714,555,339,158.5
109,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",1124,706,554,338,159.2
110,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",1099,701,544,328,156.8
111,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",1097,700,542,330,156.7
112,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",1083,698,541,330,155
113,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",1082,691,542,329,156.7
114,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",1060,673,543,329,157.5
115,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",1029,648,540,323,158.8
116,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",,,,,
117,India,6,Haryana,1991,"Calendar Year (Jan - Dec), 1991",5570,3508,4340,2666,158.8
118,India,6,Haryana,1992,"Calendar Year (Jan - Dec), 1992",5852,3474,4472,2628,168.5
119,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",5815,3513,4515,2663,165.5
120,India,6,Haryana,1994,"Calendar Year (Jan - Dec), 1994",5963,3559,4592,2719,167.5
121,India,6,Haryana,1995,"Calendar Year (Jan - Dec), 1995",5974,3586,4673,2761,166.6
122,India,6,Haryana,1996,"Calendar Year (Jan - Dec), 1996",6074,3615,4785,2755,168
123,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",6143,3635,4829,2793,169
124,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",6320,3628,5042,2842,174.2
125,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",6029,3552,5124,2888,169.8
126,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",6115,3526,5223,2958,173.4
127,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",6318,3566,5311,2938,117.2
128,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",6032,3458,5199,2966,174.4
129,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",6388,3534,5343,2969,180.8
130,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",6425,3527,5434,2954,182.2
131,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",6504,3566,5446,2936,182.4
132,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",6394,3556,5461,2990,179.8
133,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",6458,3594,5553,3025,179.7
134,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",6484,3576,5528,2877,181.3
135,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",6351,3550,5545,3069,178.9
136,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",6505,3518,5543,2887,184.9
137,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",6489,3513,5680,3073,184.7
138,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",6376,3513,5672,3102,181.5
139,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",6471,3497,5708,2931,185
140,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",6536,3522,5824,2974,185.6
141,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",6510,3522,5948,2956,184.8
142,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",6452,3499,5831,3146,184.4
143,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",6549,3517,5993,3261,186.2
144,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",6605,3600,6024,3273,183.5
145,India,6,Haryana,2019,"Calendar Year (Jan - Dec), 2019",,,,,
