ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State value added by Banking and Insurance sector at current prices,Gross State Value Added by Construction sector at constant prices,Gross State value added by Manufacturing sector at constant prices,Net State value added by Banking and Insurance sector at constant prices,Net State value added by Construction sector at constant prices,Gross State value added by Industry sector at constant prices,Net State Domestic Product at current prices,Gross State value added by Agriculture sector at current prices,Net State value added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Net State value added by Manufacturing sector at current prices,Net State value added by Agriculture sector at current prices,Gross State value added by Agriculture sector at constant prices,Net State value added by Banking and Insurance sector at current prices,Net State value added by Industry sector at current prices,Per capita Net State Domestic Product at current prices,Gross State value added by Services sector at constant prices,Net State value added by Construction sector at current prices,Net State Domestic Product at constant prices,Net State value added by Services sector at current prices,Gross State value added by Industry sector at current prices,Net State value added by Agriculture sector at constant prices,Net State value added by Manufacturing sector at constant prices,Gross State Domestic Product at current prices,Gross State value added by Banking and Insurance sector at constant prices,Gross State value added by Services sector at current prices,Gross State value added by Manufacturing sector at current prices,Gross State value added by Construction sector at current prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Services sector at constant prices
95,India,24,Gujarat,2013,"Financial Year (Apr - Mar), 2013",2004-2005,3766448,3727761,11146772,3178311,3496830,17282452,65191645,14214101,13413821,45262526,13422033,13000443,5284307,3717947,20918707,106831,21978607,5357694,38547194,29939600,27428918,4450539,8404183,76563781,3212321,33508226,18236120,5682406,63168,20012902
96,India,24,Gujarat,2014,"Financial Year (Apr - Mar), 2014",2004-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,India,27,Maharashtra,2011,"Financial Year (Apr - Mar), 2011",2004-2005,12639106,5556497,15383619,11921104,5233643,22800246,105939151,10835776,18849721,77560965,19025457,10212138,5163326,12467250,27944673,93282,48354198,7506624,69590440,65284355,33134250,4782335,12441914,117012126,12052283,70471050,22826735,7927714,61276,44763411
98,India,27,Maharashtra,2012,"Financial Year (Apr - Mar), 2012",2004-2005,14046493,5834207,17059707,12414028,5470418,24907413,119520851,11369055,20731405,83592859,21710647,10635976,5128222,13850896,31712884,103856,52247014,8061347,74913695,74376240,37421893,4714184,13984906,132222235,12557800,80553411,25835880,8555310,65095,48208444
99,India,27,Maharashtra,2013,"Financial Year (Apr - Mar), 2013",2004-2005,16235853,6398124,17485491,13688668,5999171,26028915,136514871,13383943,21723913,89676749,23020977,12520944,5544115,16009769,34596164,117091,56716697,8939970,80559286,85854681,41078861,5096499,14381216,151013214,13847202,92911500,27323137,9487771,69097,52403852
100,India,27,Maharashtra,2014,"Financial Year (Apr - Mar), 2014",2004-2005,18756949,7066234,17571024,15313176,6625622,27072556,152585742,12298249,22584588,94754976,23922671,11505256,4863579,18495759,37347322,129235,61338277,10320941,85245134,99489962,44431113,4470907,14451564,168669475,15490524,107582494,28393340,10953362,72200,56763247
101,India,28,Andhra Pradesh,2011,"Financial Year (Apr - Mar), 2011",2004-2005,1291823,1450211,2737058,1215018,1316585,5091104,32180635,7927319,3535466,22128548,2579386,7478295,3904992,1274177,6911543,64773,11875005,3098617,19155444,16406313,9048101,3639036,1709369,36224493,1231845,17651026,3943522,3272902,38556,10824867
102,India,28,Andhra Pradesh,2012,"Financial Year (Apr - Mar), 2012",2004-2005,1454565,1471233,2545373,1282642,1322621,4868962,36235305,9562978,3361891,23023999,2308567,9022385,4133498,1434696,6873541,72301,12607696,3329481,19868799,18720944,9250834,3851125,1510589,41006812,1300405,20354706,3877944,3531270,39645,11390848
103,India,28,Andhra Pradesh,2013,"Financial Year (Apr - Mar), 2013",2004-2005,1592266,1541900,2598092,1339458,1386150,4918653,41138706,10711198,3381626,24672373,2475670,10108085,4376550,1570516,7295314,81397,13765838,3710012,21312902,21796003,9809727,4073417,1521690,46418355,1358008,23685937,4157083,3934863,42170,12416267
104,India,28,Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",2004-2005,1775161,1618810,2770573,1406399,1455291,5177101,46125721,11678028,3565323,26452092,2740521,11037459,4455876,1750913,7986583,90517,14933630,4069177,22845027,24761336,10722440,4147280,1631448,52002992,1425876,26930745,4575797,4315796,44831,13446083
