srcYear,srcStateName,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank,YearCode,Year
2015,Tripura,285.5,105,627,124,577,151,37384,1378,35.9,,9,26,2015,"Financial Year (Apr - Mar), 2015"
2015,Uttar Pradesh,436.2,8706,15087,10318,8483,8950,415383,7543,27.2,60.51,47,10,2015,"Financial Year (Apr - Mar), 2015"
2015,Uttarakhand,1193.3,1207,2809,1245,2842,345,62945,3736,24.5,,13,23,2015,"Financial Year (Apr - Mar), 2015"
2016,Kerala,694.7,2319,4163,2332,1812,1045,200808,4342,11.6,102.33,27,20,2016,"Financial Year (Apr - Mar), 2016"
2016,Andaman and Nicobar Islands,473.8,18,50,24,331,,1493,266,14.4,,0,31,2016,"Financial Year (Apr - Mar), 2016"
2016,Andhra Pradesh,1019.8,5037,14827,5044,5465,3703,174367,6485,16.2,86.4,99,1,2016,"Financial Year (Apr - Mar), 2016"
2016,Arunachal Pradesh,427.5,59,258,63,2513,12,30692,,50.6,,0,31,2016,"Financial Year (Apr - Mar), 2016"
2016,Assam,265.4,827,1369,876,3821,2443,329520,2530,25.2,57.64,14,24,2016,"Financial Year (Apr - Mar), 2016"
2016,Bihar,227.9,2366,2985,2396,4839,3731,206484,4253,42.8,54.36,76,16,2016,"Financial Year (Apr - Mar), 2016"
2016,Chandigarh,1523.7,161,124,161,15,16,2821,,18.7,,0,31,2016,"Financial Year (Apr - Mar), 2016"
2016,Chhattisgarh,991.0,2531,15540,2565,3078,1213,95809,4462,30.8,,97,4,2016,"Financial Year (Apr - Mar), 2016"
2016,Dadra and Nagar Haveli,17281.5,593,90,593,,,1134,28,10.1,,2,25,2016,"Financial Year (Apr - Mar), 2016"
2016,Daman and Diu,9620.8,234,59,234,,,496,,31.8,,15,23,2016,"Financial Year (Apr - Mar), 2016"
2016,Delhi,1765.8,2958,8347,2963,80,183,17625,,19.6,,48,19,2016,"Financial Year (Apr - Mar), 2016"
2016,Goa,3511.6,512,412,512,262,69,16063,279,18.0,,18,21,2016,"Financial Year (Apr - Mar), 2016"
2016,Gujarat,1714.7,10354,29611,10354,4971,5259,179144,17201,19.1,100.06,98,3,2016,"Financial Year (Apr - Mar), 2016"
2016,Haryana,1871.1,4744,8792,4751,2622,1711,48482,1801,31.6,85.88,97,6,2016,"Financial Year (Apr - Mar), 2016"
2016,Himachal Pradesh,1277.3,876,4424,882,2642,296,55759,1466,18.8,127.61,65,17,2016,"Financial Year (Apr - Mar), 2016"
