srcStateName,srcYear,Required Doctors at Public Health Centers,Sanctioned Doctors at Public Health Centers,Doctors In Position at Public Health Centers,Doctors Vacant at Public Health Centers,Doctors Shortfall at Public Health Centers,"Required Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","Sanctioned Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","In Position Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","Vacant position of Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","Shortfall of Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)",YearCode,Year
A& N Islands,2020,22,30,48,,,16,,1,,15,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,2020,913,1390,1098,292,,1392,1422,641,781,751,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,2020,2880,3578,2759,819,121,2844,2171,816,1355,2028,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,2015,85,238,199,39,,68,4,3,1,65,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,1811,3009,2937,72,,1440,823,578,245,862,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,1171,1658,999,659,172,1336,897,263,634,1073,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,827,1120,1169,,,888,30,39,,849,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,2353,2353,2196,157,157,824,824,502,322,322,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,327,327,372,,,752,131,128,3,624,2015,"Calendar Year (Jan - Dec), 2015"
Jammu & Kashmir,2015,637,1352,834,518,,336,343,167,176,169,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,500,636,571,65,,312,0,7,,305,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,461,635,489,146,,436,153,30,123,406,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,1247,1504,889,615,358,1280,,74,,1206,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015,21,48,56,,,16,5,4,1,12,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015,792,752,368,384,424,620,628,78,550,542,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,1883,2078,2521,,,280,,63,,217,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015,1014,,1355,,,604,,121,,483,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015,117,,102,,15,208,,1,,207,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015,1069,2270,1412,858,,716,384,159,225,557,2015,"Calendar Year (Jan - Dec), 2015"
