srcStateName,srcYear,Consumption of chemical fertiliser,YearCode,Year
Assam,2014-15,90.2,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014-15,150.9,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014-15,57.5,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014-15,38.4,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014-15,178.7,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,2014-15,,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014-15,82.3,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014-15,,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014-15,54,2014,"Calendar Year (Jan - Dec), 2014"
Uttaranchal,2014-15,160,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014-15,150.5,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014-15,227.5,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014-15,221.4,2014,"Calendar Year (Jan - Dec), 2014"
Dadra & Nagar Haveli,2014-15,67.9,2014,"Calendar Year (Jan - Dec), 2014"
Daman & Diu,2014-15,,2014,"Calendar Year (Jan - Dec), 2014"
Goa,2014-15,46.9,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014-15,54.5,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014-15,125.6,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014-15,92.1,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014-15,78.2,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014-15,132.8,2014,"Calendar Year (Jan - Dec), 2014"
Lakshadweep,2014-15,,2014,"Calendar Year (Jan - Dec), 2014"
Andaman and Nicobar Islands,2014-15,29.1,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,2014-15,284.7,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014-15,163.7,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014-15,40.6,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014-15,176.2,2014,"Calendar Year (Jan - Dec), 2014"
Telangana,2014-15,231.4,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2015-16,248.6,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015-16,225.7,2015,"Calendar Year (Jan - Dec), 2015"
