ROWID,Country,State lgd code,State,YearCode,Year,Consumption of chemical fertiliser
40,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",42
41,India,2,Himachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",41.9
42,India,2,Himachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",49
43,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",47
44,India,2,Himachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",48.8
45,India,2,Himachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",52.1
46,India,2,Himachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",51.5
47,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",59.1
48,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",54.8
49,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",59.1
50,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",54.1
51,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",50.3
52,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",51.3
53,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",54
54,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",57.1
55,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",61.4
56,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",63.2
57,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",63.3
58,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",64.2
59,India,3,Punjab,1991,"Calendar Year (Jan - Dec), 1991",168.4
60,India,3,Punjab,1992,"Calendar Year (Jan - Dec), 1992",159.9
61,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",159.6
62,India,3,Punjab,1994,"Calendar Year (Jan - Dec), 1994",170.2
63,India,3,Punjab,1995,"Calendar Year (Jan - Dec), 1995",165.7
64,India,3,Punjab,1996,"Calendar Year (Jan - Dec), 1996",158.4
65,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",169.6
66,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",175.4
67,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",180
68,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",161.8
69,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",170.8
70,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",172
71,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",190.1
72,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",194.6
73,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",210.1
74,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",209.2
75,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",215.7
76,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",224.6
77,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",237
78,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",242.7
79,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",242.6
80,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",250.6
81,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",219.4
82,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",227.5
83,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",248.6
84,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",232.6
85,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",213.8
86,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",224.5
87,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",243.1
88,India,4,Chandigarh,1991,"Calendar Year (Jan - Dec), 1991",
89,India,4,Chandigarh,1992,"Calendar Year (Jan - Dec), 1992",
90,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",
91,India,4,Chandigarh,1994,"Calendar Year (Jan - Dec), 1994",
92,India,4,Chandigarh,1995,"Calendar Year (Jan - Dec), 1995",
93,India,4,Chandigarh,1996,"Calendar Year (Jan - Dec), 1996",
94,India,4,Chandigarh,1997,"Calendar Year (Jan - Dec), 1997",
95,India,4,Chandigarh,1998,"Calendar Year (Jan - Dec), 1998",74
96,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",60.3
97,India,4,Chandigarh,2000,"Calendar Year (Jan - Dec), 2000",25.5
98,India,4,Chandigarh,2001,"Calendar Year (Jan - Dec), 2001",8.5
99,India,4,Chandigarh,2002,"Calendar Year (Jan - Dec), 2002",5
100,India,4,Chandigarh,2003,"Calendar Year (Jan - Dec), 2003",3.3
101,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",9.1
102,India,4,Chandigarh,2005,"Calendar Year (Jan - Dec), 2005",
103,India,4,Chandigarh,2006,"Calendar Year (Jan - Dec), 2006",
104,India,4,Chandigarh,2007,"Calendar Year (Jan - Dec), 2007",
105,India,4,Chandigarh,2008,"Calendar Year (Jan - Dec), 2008",
106,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",
107,India,4,Chandigarh,2010,"Calendar Year (Jan - Dec), 2010",
108,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",
109,India,4,Chandigarh,2012,"Calendar Year (Jan - Dec), 2012",
110,India,4,Chandigarh,2013,"Calendar Year (Jan - Dec), 2013",
111,India,4,Chandigarh,2014,"Calendar Year (Jan - Dec), 2014",
112,India,4,Chandigarh,2015,"Calendar Year (Jan - Dec), 2015",
113,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",
114,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",
115,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",
116,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",
117,India,5,Uttarakhand,1991,"Calendar Year (Jan - Dec), 1991",
118,India,5,Uttarakhand,1992,"Calendar Year (Jan - Dec), 1992",
119,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",
120,India,5,Uttarakhand,1994,"Calendar Year (Jan - Dec), 1994",
121,India,5,Uttarakhand,1995,"Calendar Year (Jan - Dec), 1995",
122,India,5,Uttarakhand,1996,"Calendar Year (Jan - Dec), 1996",
123,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",
124,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",
125,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",
126,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",
127,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",
128,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",
129,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",104.8
130,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",88.9
131,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",94.2
132,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",113.1
133,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",119.3
134,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",121.2
135,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",123.2
136,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",134.5
137,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",147
138,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",135.7
139,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",164.1
140,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",160
141,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",169.2
142,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",169.3
143,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",152.1
144,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",140.7
145,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",136.5
146,India,6,Haryana,1991,"Calendar Year (Jan - Dec), 1991",112.8
147,India,6,Haryana,1992,"Calendar Year (Jan - Dec), 1992",102.8
148,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",120.6
149,India,6,Haryana,1994,"Calendar Year (Jan - Dec), 1994",121.7
150,India,6,Haryana,1995,"Calendar Year (Jan - Dec), 1995",124.5
151,India,6,Haryana,1996,"Calendar Year (Jan - Dec), 1996",130.9
152,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",139.9
153,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",138
154,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",146.8
155,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",147.2
156,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",163.2
157,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",150.6
158,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",161.7
159,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",155.1
160,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",166.7
161,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",173
162,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",189
163,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",199.6
164,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",209.9
165,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",213.8
166,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",220.1
167,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",211.8
168,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",206.9
169,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",221.4
170,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",220.4
171,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",206.7
172,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",212.9
173,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",224.5
174,India,6,Haryana,2019,"Calendar Year (Jan - Dec), 2019",212.9
175,India,7,Delhi,1991,"Calendar Year (Jan - Dec), 1991",
176,India,7,Delhi,1992,"Calendar Year (Jan - Dec), 1992",
177,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",
178,India,7,Delhi,1994,"Calendar Year (Jan - Dec), 1994",
179,India,7,Delhi,1995,"Calendar Year (Jan - Dec), 1995",
180,India,7,Delhi,1996,"Calendar Year (Jan - Dec), 1996",
181,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",
182,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",328.8
183,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",343.8
184,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",85.5
185,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",58.9
186,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",59.2
187,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",30.4
188,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",13.1
189,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",10.5
190,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",23.6
191,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",8.9
192,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",14.5
193,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",53.4
194,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",9.1
195,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",14.9
196,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",24.5
197,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",33
198,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",82.3
199,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",57.5
200,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",76.5
201,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",77
202,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",112
203,India,7,Delhi,2019,"Calendar Year (Jan - Dec), 2019",141
204,India,8,Rajasthan,1991,"Calendar Year (Jan - Dec), 1991",24.6
205,India,8,Rajasthan,1992,"Calendar Year (Jan - Dec), 1992",25.3
206,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",27.8
207,India,8,Rajasthan,1994,"Calendar Year (Jan - Dec), 1994",29.9
208,India,8,Rajasthan,1995,"Calendar Year (Jan - Dec), 1995",33.4
209,India,8,Rajasthan,1996,"Calendar Year (Jan - Dec), 1996",36.4
210,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",40
211,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",35.1
212,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",36.6
213,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",31.1
214,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",40.9
215,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",28.6
216,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",37.4
217,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",31.3
218,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",36.3
219,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",43.1
220,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",44.4
221,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",47.4
222,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",48.3
223,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",60.6
224,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",55.3
225,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",56.1
226,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",45.9
227,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",54.5
228,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",61.6
229,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",51.9
230,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",47.4
231,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",60.8
232,India,8,Rajasthan,2019,"Calendar Year (Jan - Dec), 2019",62.3
233,India,9,Uttar Pradesh,1991,"Calendar Year (Jan - Dec), 1991",88.7
234,India,9,Uttar Pradesh,1992,"Calendar Year (Jan - Dec), 1992",85.5
235,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",88.8
236,India,9,Uttar Pradesh,1994,"Calendar Year (Jan - Dec), 1994",96.6
237,India,9,Uttar Pradesh,1995,"Calendar Year (Jan - Dec), 1995",102
238,India,9,Uttar Pradesh,1996,"Calendar Year (Jan - Dec), 1996",108.4
239,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",117.5
240,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",118.3
241,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",123.5
242,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",115.3
243,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",130.3
244,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",124.6
245,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",126.7
246,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",134.1
247,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",140.4
248,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",142
249,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",150.7
250,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",161.8
251,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",171
252,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",174.3
253,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",165
254,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",180.1
255,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",138.4
256,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",150.5
257,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",155.5
258,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",154.3
259,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",168.2
260,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",170.1
261,India,9,Uttar Pradesh,2019,"Calendar Year (Jan - Dec), 2019",180.4
262,India,10,Bihar,1991,"Calendar Year (Jan - Dec), 1991",57.9
263,India,10,Bihar,1992,"Calendar Year (Jan - Dec), 1992",56.8
264,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",57.7
265,India,10,Bihar,1994,"Calendar Year (Jan - Dec), 1994",69.8
266,India,10,Bihar,1995,"Calendar Year (Jan - Dec), 1995",73.9
267,India,10,Bihar,1996,"Calendar Year (Jan - Dec), 1996",80.6
268,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",85.9
269,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",88.3
270,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",98.4
271,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",98.2
272,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",88
273,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",86.6
274,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",88
275,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",99.8
276,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",125.3
277,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",144.7
278,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",152.4
279,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",171.6
280,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",165.6
281,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",180.6
282,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",180.5
283,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",196.3
284,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",169.9
285,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",178.7
286,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",220.2
287,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",196.9
288,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",213
289,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",227.7
290,India,10,Bihar,2019,"Calendar Year (Jan - Dec), 2019",245.3
291,India,11,Sikkim,1991,"Calendar Year (Jan - Dec), 1991",
292,India,11,Sikkim,1992,"Calendar Year (Jan - Dec), 1992",
293,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",7.4
294,India,11,Sikkim,1994,"Calendar Year (Jan - Dec), 1994",6.2
295,India,11,Sikkim,1995,"Calendar Year (Jan - Dec), 1995",8.3
296,India,11,Sikkim,1996,"Calendar Year (Jan - Dec), 1996",5.9
297,India,11,Sikkim,1997,"Calendar Year (Jan - Dec), 1997",5.8
298,India,11,Sikkim,1998,"Calendar Year (Jan - Dec), 1998",6.5
299,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",6.2
300,India,11,Sikkim,2000,"Calendar Year (Jan - Dec), 2000",8.5
301,India,11,Sikkim,2001,"Calendar Year (Jan - Dec), 2001",10.2
302,India,11,Sikkim,2002,"Calendar Year (Jan - Dec), 2002",9.9
303,India,11,Sikkim,2003,"Calendar Year (Jan - Dec), 2003",3.4
304,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",5
305,India,11,Sikkim,2005,"Calendar Year (Jan - Dec), 2005",2.8
306,India,11,Sikkim,2006,"Calendar Year (Jan - Dec), 2006",2.9
307,India,11,Sikkim,2007,"Calendar Year (Jan - Dec), 2007",0
308,India,11,Sikkim,2008,"Calendar Year (Jan - Dec), 2008",
309,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",
310,India,11,Sikkim,2010,"Calendar Year (Jan - Dec), 2010",
311,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",
312,India,11,Sikkim,2012,"Calendar Year (Jan - Dec), 2012",
313,India,11,Sikkim,2013,"Calendar Year (Jan - Dec), 2013",
314,India,11,Sikkim,2014,"Calendar Year (Jan - Dec), 2014",
315,India,11,Sikkim,2015,"Calendar Year (Jan - Dec), 2015",
316,India,11,Sikkim,2016,"Calendar Year (Jan - Dec), 2016",
317,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",
318,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",
319,India,11,Sikkim,2019,"Calendar Year (Jan - Dec), 2019",
320,India,12,Arunachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",1.9
321,India,12,Arunachal Pradesh,1992,"Calendar Year (Jan - Dec), 1992",2
322,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",2.3
323,India,12,Arunachal Pradesh,1994,"Calendar Year (Jan - Dec), 1994",2.2
324,India,12,Arunachal Pradesh,1995,"Calendar Year (Jan - Dec), 1995",1.5
325,India,12,Arunachal Pradesh,1996,"Calendar Year (Jan - Dec), 1996",2.1
326,India,12,Arunachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",2.3
327,India,12,Arunachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",2.5
328,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",2.4
329,India,12,Arunachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",2.4
330,India,12,Arunachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",2.7
331,India,12,Arunachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",2.9
332,India,12,Arunachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",2.9
333,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",3
334,India,12,Arunachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",2.9
335,India,12,Arunachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",2.7
336,India,12,Arunachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",2.7
337,India,12,Arunachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",3
338,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",3
339,India,12,Arunachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",3
340,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",2.4
341,India,12,Arunachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",2
342,India,12,Arunachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",
343,India,12,Arunachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",
344,India,12,Arunachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",2.1
345,India,12,Arunachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",0
346,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",0
347,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",
348,India,12,Arunachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",0
349,India,13,Nagaland,1991,"Calendar Year (Jan - Dec), 1991",3.5
350,India,13,Nagaland,1992,"Calendar Year (Jan - Dec), 1992",3.5
